"id","title","teaser","categories","lastModified","created","publishedAt","authors","url","article_text"
"98174","MAGA + MEGA + AfD 2026:  Wir werden Deutschland retten!  | Naomi Seibt","","Politik","2026-01-02T10:23:46+00:00","2026-01-02T10:23:46+00:00","2026-01-02T10:23:46+00:00","","https://deutschlandkurier.de/2026/01/maga-mega-afd-2026-wir-werden-deutschland-retten-naomi-seibt/",""
"98177","Kirchensteuerkirchen gegen AfD: Mammon statt Christentum! | Hans-Thomas Tillschneider (AfD Sachsen-Anhalt)","","Hans-Thomas Tillschneider","2026-01-02T11:19:28+00:00","2026-01-02T11:19:28+00:00","2026-01-02T11:19:28+00:00","","https://deutschlandkurier.de/2026/01/kirchensteuerkirchen-gegen-afd-mammon-statt-christentum-hans-thomas-tillschneider-afd-sachsen-anhalt/",""
"98182","Silvester-Riss: In Westeuropa wütet der Migranten-Mob, in Osteuropa feiern die Menschen unbeschwert","Ein tiefer Riss geht durch Europa. Er teilt das Abendland in eine Bürgerkriegszone West und eine friedliche, von Migranten-Terror noch weitgehend freie Zone Ost. Auch dieses Mal hat sich an Silvester gezeigt: Während die Menschen in Budapest, Prag und Warschau auf Straßen und Plätzen unbeschwert ins neue Jahr feiern können, sorgt unter anderm in Berlin, […]","Migration","2026-01-03T10:34:20+00:00","2026-01-02T11:37:49+00:00","2026-01-02T11:37:49+00:00","","https://deutschlandkurier.de/2026/01/silvester-riss-in-westeuropa-wuetet-der-migranten-mob-in-osteuropa-feiern-die-menschen-unbeschwert/","Ein tiefer Riss geht durch Europa. Er teilt das Abendland in eine Bürgerkriegszone West und eine friedliche, von Migranten-Terror noch weitgehend freie Zone Ost. Auch dieses Mal hat sich an Silvester gezeigt: Während die Menschen in Budapest, Prag und Warschau auf Straßen und Plätzen unbeschwert ins neue Jahr feiern können, sorgt unter anderm in Berlin, Brüssel und Paris ein marodierender Migranten-Mob, Arm in Arm mit linksextremistischen Gewalttätern, für Angst und Schrecken.

▶ In Amsterdam hat ein Brand in der Silvesternacht die Vondelkirche im Zentrum weitgehend zerstört. Der Turm des Gotteshauses stürzte vollständig ein. Die Brandursache war zunächst noch unklar. Brandstiftung wird aber nicht ausgeschlossen. Wurde die Kirche als Symbol des christlichen Abendlandes angezündet?

Die Feuersbrunst in der niederländischen Metropole ist jedenfalls ein Fanal: Bürgerkriegsähnliche Krawalle erschütterten zum Jahreswechsel auch wieder Städte wie Berlin, Leipzig, Hamburg, Brüssel und Paris. In Straßburg brannten mehr als 100 Autos aus. Auch in Brüssel standen Straßenbahnen und Autos in Flammen.

▶ Bürgerkriegsähnliche Zustände und hemmungslose Lust an Gewalt und Zerstörung auch in Deutschland: In Berlin-Wilmersdorf brannte ein Linienbus aus, an der Hermannstraße im arabisierten Stadtbezirk Neukölln ein Tesla-Taxi. Allein in Berlin gab es rund 400 Festnahmen. In Leipzig und Dresden setzten Linksextremisten Barrikaden in Brand.

Fast überall im öffentlichen Raum großer Städte wütete an Silvester ein Migranten-Mob vorwiegend arabischer und afrikanischer Provenienz und dominierte zusammen mit Linksextremisten das „Stadtbild“.

▶ In Köln attackierten Migranten die populäre Streamerin „Kunshikitty“. Als sie durch eine Gruppe Ausländer rannte, warf ihr „ein Mann“ aus einem halben Meter Entfernung einen Knallfrosch ins Gesicht. In der Wiesbadener Innenstadt wurde ein 23-Jähriger erstochen. In Leipzig und Berlin fuhren Wasserwerfer auf.

Florian Nath, politisch weisungsgebundener Sprecher der Berliner Polizei, wiegelte im woken Sprech ab: Die Silvesternacht in Berlin sei „nicht ganz so problematisch“ verlaufen ist wie in den vergangenen Jahren…

FAZIT: Migranten zeigten auch zum Jahreswechsel 2025/26 überdeutlich, was sie von der Lebensweise des von ihnen gefluteten Europas (West) halten: NICHTS!"
"98185","Proteste im Iran eskalieren: Trump droht mit Eingreifen – Stürzt das Mullah-Regime?","Landesweit eskalierende Proteste gegen das Mullah-Regime im Iran haben US-Präsident Donald Trump auf den Plan gerufen. Er droht offen mit einer Intervention der USA. Bei den Unruhen sind laut Medienberichten und Angaben von Menschenrechtsorganisationen bereits mehrere Menschen ums Leben gekommen. Die größten Proteste seit drei Jahren richten sich vor allem gegen die galoppierende Inflation und […]","Ausland","2026-01-02T12:36:33+00:00","2026-01-02T12:36:33+00:00","2026-01-02T12:36:33+00:00","","https://deutschlandkurier.de/2026/01/proteste-im-iran-eskalieren-trump-droht-mit-eingreifen-stuerzt-das-mullah-regime/","Landesweit eskalierende Proteste gegen das Mullah-Regime im Iran haben US-Präsident Donald Trump auf den Plan gerufen. Er droht offen mit einer Intervention der USA.

Bei den Unruhen sind laut Medienberichten und Angaben von Menschenrechtsorganisationen bereits mehrere Menschen ums Leben gekommen. Die größten Proteste seit drei Jahren richten sich vor allem gegen die galoppierende Inflation und haben in mehreren Provinzen zu gewalttätigen Ausschreitungen geführt.

Wie die Revolutionsgarden mitteilten, wurde ein Mitglied einer paramilitärischen Freiwilligeneinheit in der westiranischen Stadt Kuhdasht getötet. 13 weitere Milizionäre seien verletzt worden.

Die landesweiten Proteste hatten am Sonntag begonnen, nachdem der Wert der iranischen Währung, des Rial, auf einen neuen Tiefstand gefallen war. Neben der mit 40 Prozent Inflation rapide schwindenden Kaufkraft hatten zuletzt auch Wasser-, Strom- und Gasknappheit sowie eine gesundheitsgefährdende Luftverschmutzung die Menschen auf die Straßen getrieben.

US-Präsident Donald Trump hat der Führung in Teheran mit Konsequenzen gedroht. Wenn auf friedliche Demonstranten geschossen werde, würden die USA ihnen zu Hilfe kommen, schrieb Trump auf seinem Internetdienst Truth Social. Man sei bereit, einzugreifen. Details nannte der amerikanische Präsident nicht."
"98188","Voll daneben: Medien verreißen Neujahrsansprache von Kanzler Merz (CDU)","Es ist der Running Gag im Netz: „Ein Wunder ist geschehen. Während der Neujahrsansprache des Bundeskanzlers stand der gelähmte Großvater auf und schaltete den Fernseher aus!“ Das unerträgliche Jahresend-Geschwurbel von Friedrich Merz (CDU), das in dem Satz „Hören wir nicht auf Angstmacher und Schwarzmaler“ seine ganze geistige Armut findet, im Medien-Echo. Das Magazin „Focus“ entlarvt […]","Mehr","2026-01-02T13:10:58+00:00","2026-01-02T13:40:32+00:00","2026-01-02T13:40:32+00:00","","https://deutschlandkurier.de/2026/01/voll-daneben-medien-verreissen-neujahrsansprache-von-kanzler-merz-cdu/","Es ist der Running Gag im Netz: „Ein Wunder ist geschehen. Während der Neujahrsansprache des Bundeskanzlers stand der gelähmte Großvater auf und schaltete den Fernseher aus!“ Das unerträgliche Jahresend-Geschwurbel von Friedrich Merz (CDU), das in dem Satz „Hören wir nicht auf Angstmacher und Schwarzmaler“ seine ganze geistige Armut findet, im Medien-Echo.

Das Magazin „ Focus “ entlarvt die hohlen Phrasen: „Die Ansprache arbeitet mit klassischen politischen Standardsätzen: ‚Wir haben es selbst in der Hand‘, ‚Deutschland ist ein starkes Land‘, ‚Unsere Hände sind nicht gebunden‘…“.

„ NiUS “-Chef Julian Reichelt analysiert: Merz sei „vollkommen besessen von der Idee seiner selbst als grandiose Schicksalsfigur der Weltgeschichte. Er sieht sich als Bändiger und Bezwinger der ganz großen Linien, er kann keinen einzigen simplen Gedanken ohne die Frontverläufe in der Ukraine denken. Er ist vollkommen unfähig geworden, zu erkennen, dass die wichtigsten Entscheidungen fürs Land im Land liegen, zum Beispiel in einer Umkehr der wahnwitzigen Energie-Politik ohne Rücksicht auf das Bürokratiemonstrum EU.“

Der Ex-„Bild“-Chef resümiert: „Nichts, was für die deutsche Wirtschaft und unsere Gesellschaft 2026 überlebenswichtig ist, hat Merz durchdrungen oder innerlich akzeptiert. Seine Neujahrsansprache ist hoffnungslos gescheitertes Eliten-Rumgemurkse im dröhnend-markigen Merz-Großmannssound.“

In seiner Ansprache zum Neuen Jahr kündigte Merz weitere Sozialreformen an. Weitere? Die „ Schwäbische Zeitung “ aus Ravensburg meint dazu: „Kanzler Merz hätte den Bürgern eine ehrliche Bestandsaufnahme und eine belastbare Perspektive für einen Neustart geben müssen. Seine Neujahrsansprache wirkte dagegen beschwichtigend.“

Die linke „ taz “ kommentiert: „Statt wie ein Regierungschef zu den Bürgern spricht er (Merz) wie ein Firmenvorstand zu seiner Belegschaft. Diese Ansprache ist nicht dazu angetan, seine schlechten Umfragewerte zu heben.“

Die „ Süddeutsche Zeitung “ wundert sich, dass der Kanzler in seiner Ansprache die Bürger um Geduld bat: „Ausgerechnet Merz möchte man sagen, dem früher nie etwas schnell genug gehen konnte. Der sogar einmal angekündigt hat, gleich am ersten Tag im Kanzleramt Dinge per Richtlinienkompetenz durchsetzen zu wollen…“

Das linksgrün-woke Blatt aus München argwöhnt, dass Merz bei seiner Bitte um Geduld wohl mehr darauf hoffe, „dass sich die miserablen Umfragewerte irgendwann doch noch verbessern.“"
"98195","Sachsen-Anhalt: AfD-Spitzenkandidat Ulrich Siegmund  will unnütze Ministerien und Gesinnungs-Rundfunk abschaffen","Ulrich Siegmund, AfD-Spitzenkandidat für die Landtagswahl in Sachsen-Anhalt am 6. September, will im Fall seiner Wahl zum Ministerpräsidenten mehrere Ministerien und Behörden sowie den öffentlich-rechtlichen Rundfunk in seiner bisherigen Struktur abschaffen. „Die Landesregierung werden wir deutlich verschlanken“, kündigte er im „Spiegel“ an. Ein bis zwei Ministerien sollten durch sinnvolle Zusammenlegungen wegfallen. Zudem wolle er bei […]","Politik","2026-01-02T15:55:54+00:00","2026-01-02T16:00:40+00:00","2026-01-02T16:00:40+00:00","","https://deutschlandkurier.de/2026/01/sachsen-anhalt-afd-spitzenkandidat-ulrich-siegmund-will-unnuetze-ministerien-und-gesinnungs-rundfunk-abschaffen/","Ulrich Siegmund, AfD-Spitzenkandidat für die Landtagswahl in Sachsen-Anhalt am 6. September, will im Fall seiner Wahl zum Ministerpräsidenten mehrere Ministerien und Behörden sowie den öffentlich-rechtlichen Rundfunk in seiner bisherigen Struktur abschaffen.

„Die Landesregierung werden wir deutlich verschlanken“, kündigte er im „Spiegel“ an. Ein bis zwei Ministerien sollten durch sinnvolle Zusammenlegungen wegfallen. Zudem wolle er bei den Behörden des Landes kürzen. Über die Landesenergieagentur, von Amts wegen zuständig für „Energieeffizienz und Ressourcenschonung“, sagte Siegmund: „Braucht niemand.“

Der 35-Jährige, der gute Chancen auf die absolute Mehrheit hat, will eigenen Angaben zufolge den öffentlich-rechtlichen Rundfunk durch höchstens zwei Sender zu ersetzen, deren Sendeauftrag Information statt ideologische Indoktrination sein soll. Dieser „Grundfunk“ dürfe dann „ausschließlich sachlich berichten“.

Der AfD-Spitzenkandidat hatte zuvor eine tiefgreifende Reform auch im Schulwesen angekündigt. Als Regierungschef will er die allgemeine Schulpflicht lockern und durch eine Bildungspflicht ersetzen, wie sie auch die Bundes-AfD fordert. Mit Blick auf Migranten gehe es darum, „die Spreu vom Weizen trennen“. Dabei hat Siegmund nicht nur Sachsen-Anhalt im Auge: „Das große Ziel ist es, das ganze Land wieder vom Kopf auf die Füße zu stellen.“"
"98198","Das Geschäft mit dem „Kirchenasyl“: Wie Kirchen, NGO-Asylindustrie und Linksextremisten den Rechtsstaat ausbooten","Die Zahnlosigkeit des deutschen Asylsystems, das seit Jahrzehnten vom nobel gedachten Grundrecht zum millionenfach missbrauchten Einfallstor für illegale Massenmigration heruntergekommen ist, offenbart sich am peinvollsten im systematischen Scheitern seiner wenigen Durchsetzungsversuche. Nur bei einem Bruchteil der hunderttausende abgelehnten und vollziehbar ausreisepflichtigen Asylbewerber bemühen sich die Behörden überhaupt noch um eine Abschiebung – daran hat sich, […]","Migration","2026-01-02T16:58:36+00:00","2026-01-02T16:58:31+00:00","2026-01-02T16:58:31+00:00","","https://deutschlandkurier.de/2026/01/das-geschaeft-mit-dem-kirchenasyl-wie-kirchen-ngo-asylindustrie-und-linksextremisten-den-rechtsstaat-ausbooten/","Die Zahnlosigkeit des deutschen Asylsystems, das seit Jahrzehnten vom nobel gedachten Grundrecht zum millionenfach missbrauchten Einfallstor für illegale Massenmigration heruntergekommen ist, offenbart sich am peinvollsten im systematischen Scheitern seiner wenigen Durchsetzungsversuche.

Nur bei einem Bruchteil der hunderttausende abgelehnten und vollziehbar ausreisepflichtigen Asylbewerber bemühen sich die Behörden überhaupt noch um eine Abschiebung – daran hat sich, allen hohlen Deklamationen zum Trotz, auch unter schwarz-roten Vorzeichen nichts geändert. Und von diesen viel zu wenigen Abschiebeversuchen scheitert noch die Mehrzahl an der Fälle an der vorsätzlichen Destruktion durch staatsfinanzierte NGO-Lobbyisten, organisierte Linksextremisten und von Profitinteressen geleitete Akteure der Asylindustrie.

Sozialkonzerne mit angehängtem Weltanschauungsbetrieb

Die Amtskirchen, die als mächtige Sozialkonzerne mit angehängtem Weltanschauungsbetrieb im Milliardengeschäft der Asylindustrie auf dem Rücken des Landes und seiner Bürger ganz vorne mitmischen, spielen auch im Netzwerk der Abschiebe-Saboteure eine führende Rolle. Ihr Beitrag beschränkt sich keineswegs auf das übliche Gebräu aus öffentlich zelebrierter moralischer Erpressung und humanitärer Heuchelei.

Über das Instrument des sogenannten „Kirchenasyls“ greifen beide Amtskirchen, evangelische wie katholische, den Rechtsstaat auch direkt an und beteiligen sich unmittelbar an der Aushöhlung und Unterminierung geltenden Rechts.

„Kirchenasyl“ als klientelpolitisches Kampfinstrument

Der Begriff selbst ist so verlogen und sinnentstellt wie das deutsche Asylrecht selbst, das mit dem ursprünglich beabsichtigten Schutz politisch Verfolgter nur noch marginal und in wenigen Ausnahmefällen zu tun hat. Die auf alttestamentarische und vorchristlich-antike Vorstellungen zurückgehenden Praxis, dass Verfolgte an sakralen Orten Zuflucht vor der Willkür weltlicher Gewalten finden konnten, haben die Kirchen zum klientelpolitischen Kampfinstrument pervertiert, um ihr rechtswidriges Migrations-Business mit allen, auch ungesetzlichen Mitteln zu verteidigen.

Die Anmaßung, illegale Migranten und Asylschwindler in kirchlichen Einrichtungen dem staatlichen Zugriff zu entziehen, ist während der Asylkrisen der 1980er Jahre eingerissen, als insbesondere die „Evangelische Kirche Deutschlands“ (EKD) den Multikulturalismus als lukratives Ersatz-Geschäftsmodell in Zeiten schwindender Glaubensbindung adoptierte. Nach der Verschärfung des Asylrechts im Zuge des 1993 zwischen Union und SPD vereinbarten „Asylkompromiss“ wurde die „Kirchenasyl“-Farce zum festen Bestandteil im Repertoire des kirchlichen Migrationstheaters.

Tausende verhinderte Abschiebungen

Aktuell explodieren die Zahlen abermals. In nur drei Jahren haben sich die „Kirchenasyl“-Fälle seit 2020 verdreifacht, wie der AfD-Bundestagsabgeordnete Stephan Brandner schon 2023 herausfand. Seit 2019 konnten deshalb fast 6.000 Abschiebungen in andere EU-Staaten nach dem Dublin-III-Verfahren nicht stattfinden.

2024 waren laut Bundesamt für Migration und Flüchtlinge (Bamf) bereits 2386 Fälle zu verzeichnen, gut 300 mehr als im Vorjahr. 1813 Migranten fanden in evangelischen Gemeinden Unterschlupf, 425 in katholischen und 148 in Freikirchen. Im ersten Quartal 2025 war die Zahl der „Kirchenasyl“-Fälle wiederum angestiegen. Vollständige Statistiken liegen nicht vor, die Angaben beruhen auf Abfragen bei den einzelnen Landeskirchen und den von kirchlichen Stellen mitgeteilten Zahlen.

„Schutz“ – aber nur für das eigene Geschäftsmodell

Die hochtrabende Rhetorik – es geht den „Kirchenasyl“-Gebern vorgeblich darum, besonders gefährdete „Flüchtlinge“, denen „Gefahr für Leib und Leben“ drohe, vor der Abschiebung zu bewahren – hält einer Überprüfung an der Wirklichkeit nicht stand. In der weit überwiegenden Mehrzahl der Fälle dient „Kirchenasyl“ dazu, Abschiebungen in EU-Erstaufnahmeländer nach dem Dublin-III-Abkommen zu verhindern – in Länder also, in denen den Betreffenden keineswegs unmenschliche Gefahren drohen, sondern lediglich weniger komfortable Sozialleistungen

Anders ausgedrückt geht es also darum, Asylforderer rechtswidrig im deutschen Asylsystem zu halten, damit der deutsche Steuerzahler weiter für sie aufkommen muss. „Geschützt“ werden also nicht die vermeintlichen „Härtefälle“, sondern in erstere Linie das Geschäftsmodell der kirchlichen Sozialkonzerne, die selbst zu den größten Akteuren mit dem Asyl- und Migrationsbusiness gehören.

Dieses Geschäft ist lukrativ, einträglicher als so manches, was zum klassischen Betätigungsfeld der kirchlichen Sozialkonzerne gehört. Mit brutaler Konsequenz demonstrierte das der christliche Betreiber eines Seniorenstifts im Berliner Wedding, der im Frühjahr 2023 seine hochbetagten und pflegebedürftigen Bewohner eiskalt vor die Türe setzte, um die Räume mit Asyl-Migranten zu belegen.

„Flüchtlinge“ benötigen nämlich weniger Personal und bringen höhere Gewinnmargen ein. „Humanität“ und „Barmherzigkeit“ ist für den EKD-Sozialkonzern Diakonie, zu dem die fragliche Einrichtung gehört, eben in erster Linie eine Frage des Profits.

Vorsätzliche Fristverschleppung

Selbstverständlich denken die Amtskirchen und ihre Gemeinden daher auch gar nicht daran, dauerhaft selbst für ihre Schützlinge zu bezahlen, denen sie so großzügig „Kirchenasyl“ geben.

Eine rechtliche Grundlage gibt es dafür ohnehin nicht. Im Dammbruch-Jahr 2015 hatte das Bundesinnenministerium der damaligen Merkel-Regierung mit Vertretern der Kirchen eine Vereinbarung getroffen, dass in „begründeten Ausnahmefällen zur Vermeidung von besonderen humanitären Härten“ eine „lösungsorientierte Einzelfallprüfung“ zwischen Kirche und Behörden gefunden werden soll.

Damit ist der Zweck des kirchlichen Rechtsbruchs bereits erreicht: Denn während Kirchen und Behörden „verhandeln“, verstreichen in der Regel die Rückführungsfristen nach dem Dublin-Abkommen, die mit sechs Monaten ohnehin knapp bemessen sind. „Rechtsgültig verfügte Abschiebungen werden somit über Monate verzögert oder scheitern ganz, weil wichtige Fristen verstreichen“, bringt es ein Asyl-Sachbearbeiter gegenüber „Bild“ auf den Punkt.

Danach können die illegalen Migranten nach EU-Recht nicht mehr in das Ersteinreiseland überstellt werden, und die Zuständigkeit bleibt endgültig bei der Bundesrepublik Deutschland hängen, die den Asylforderer nach Ablehnung seines Antrags allenfalls noch direkt ins Heimatland zurückführen kann. Wie selten das überhaupt gelingt, ist bekannt.

Systematische Sabotage

Dass es dabei nicht nur um „Einzelfälle“ geht, sondern um eine generelle Sabotage der letzten Einschränkungen und Restriktionen des deutschen Asylsystems, bestätigt der Fall von drei Somaliern, die offenkundig von der Migrationslobby-NGO „Pro Asyl“ vorgeschickt worden waren, um die von Bundesinnenminister Alexander Dobrindt (CSU) verfügten Zurückweisungen an den Grenzen über einen Musterprozess zu Fall zu bringen.

Nach ihrer demonstrativen Einreise über die polnische Grenze, also aus einem sicheren Drittstaat, und ihrer unter anderem unter Vorlage gefälschter Papiere provozierten Zurückweisung klagten die drei Somalier mit Unterstützung und intensiver Betreuung von „Pro Asyl“ vor dem Verwaltungsgericht Berlin. Der Vorsitzende Richter, ein bekennender „Grüner“ und voreingenommener Gegner jeglicher strengerer Asylregeln, ordnete wunschgemäß eine Prüfung nach dem Dublin-Verfahren anordnete.

Um eine mögliche Rücküberstellung nach Polen oder Litauen noch zusätzlich zu erschweren, nahm eine evangelische Kirchengemeinde in Berlin die drei Somalier zusätzlich noch ins „Kirchenasyl“. Der evangelische Berliner Landesbischof Christian Stäblein wertete das rechtswidrige Manöver zur Grundsatzfrage auf: Er traf sich mit den drei Somaliern, drückte in einer öffentlichen Stellungnahme auf die Tränendrüse und forderte nicht etwa seine rechtsbrüchige Kirchengemeinde, sondern die Bundesregierung zur „Selbstprüfung“ auf.

Linksextreme Drohkulissen

Der Fall zeigt eindrücklich, wie Kirchen, Asylindustrie und Pseudo-„Nichtregierungsorganisationen“ beim Durchpeitschen ihrer eigenen Vorstellungen von Asyl- und Migrationspolitik Hand in Hand arbeiten. Die Kirchen stellen Räume und Infrastruktur für den Rechtsbruch, NGOs organisieren den Nachschub, und bei bedarf stellt die mit beiden gut vernetzte linksextreme Szene auch den militanten Begleitschutz.

So geschehen etwa im Gemeindezentrum Zion in der Bremer Neustadt, wo der sogenannte „Flüchtlingsrat“ illegale Einwanderer durch das „Kirchenasyl“ schleuste und zu Demonstrationen gegen geplante Abschiebungen aufrief, bei denen militante Linksextremisten dann die passende Drohkulisse lieferten.

Kontrollverlust

Angesichts der Dimensionen, welche die „Kirchenasyl“-Scharade zwischenzeitlich angenommen hat, bekommen auch einzelne etablierte Politiker kalte Füße. Nachdem vier Afghanen, die aus Hamburg nach Schweden zurücküberstellt werden sollten, im „Asyl“ einer Berliner Kirchengemeinde untergetaucht waren, beschwerte sich der Erste Bürgermeister der Hansestadt Peter Tschentscher (SPD) schriftlich bei Berlins Regierenden Bürgermeister Kai Wegner (CDU), der die angeforderte Amtshilfe für die Abschiebung aus dem „Kirchenasyl“ abgelehnt hatte: Das Zusammenwirken von Kirchengemeinden und Berliner Polizei verhindere den Vollzug von Recht und Gesetz.

Das Angebot, mit eigenen Polizeikräften die Ausreisepflichtigen aus dem kirchlichen Versteck zu holen, hätten die Hamburger allerdings ihrerseits ausgeschlagen, konterte der Berliner Senat. Solange die etablierte Politik es bei derartigen Spiegelfechtereien bewenden lässt, können Missbrauch und Kontrollverlust ungeniert weitergehen.

Eine konsistente Linie gegenüber dem „Kirchenasyl“ fährt dagegen die Alternative für Deutschland (AfD): Diese rechtswidrige Praxis sei nichts anderes als „Verachtung des Rechtsstaats“, konstatiert deren Bundestagsabgeordneter Stephan Brandner. Die AfD-Fraktion im Deutschen Bundestag hat in den letzten beiden Legislaturperioden Anträge gestellt, die vom Bundesamt für Migration und Flüchtlinge mit den Vertretern der katholischen und evangelischen Kirche am 24. Februar 2015 getroffene Vereinbarung zum Kirchenasyl unverzüglich zu beenden."
"98201","Gewalt und Randale in der Silvesternacht: Migrantenterror in Köln!","Die Feierlichkeiten zum Jahreswechsel ist im öffentlichen Raum unerträglich geworden: Raketen fliegen in Menschenmengen, Kinder geraten in Gefahr, Rettungskräfte werden beschossen. Frauen fühlen sich massivst gefährdet, Deutsche bleiben lieber fern. Ganze Plätze wurden von Migrantenhorden übernommen! Zehn Jahre nach dem Silvesterhorror zeigt Köln ein Stadtbild aus Angst, Chaos und Resignation. Der Deutschland-Kurier war live vor […]","Migration","2026-01-02T17:50:06+00:00","2026-01-02T17:50:06+00:00","2026-01-02T17:50:06+00:00","","https://deutschlandkurier.de/2026/01/gewalt-und-randale-in-der-silvesternacht-migrantenterror-in-koeln/","Die Feierlichkeiten zum Jahreswechsel ist im öffentlichen Raum unerträglich geworden: Raketen fliegen in Menschenmengen, Kinder geraten in Gefahr, Rettungskräfte werden beschossen. Frauen fühlen sich massivst gefährdet, Deutsche bleiben lieber fern. Ganze Plätze wurden von Migrantenhorden übernommen!

Zehn Jahre nach dem Silvesterhorror zeigt Köln ein Stadtbild aus Angst, Chaos und Resignation. Der Deutschland-Kurier war live vor Ort!"
