"id","title","teaser","categories","lastModified","created","publishedAt","authors","url","article_text"
"95226","Viktor Orbán: Brüssel und Kiew planen Umsturz in Ungarn!","Der ungarische Ministerpräsident Viktor Orbán ist davon überzeugt, dass EU-Kommissionspräsidentin von der Leyen und der ukrainische Präsident Wolodymyr Selenskyj konspirieren, um einen Umsturz in Ungarn herbeizuführen und um eine ihnen willfährige Regierung in Budapest zu etablieren. Ungarns Ministerpräsident Viktor Orbán hat schwerwiegende Anschuldigungen gegen die EU-Kommission in Brüssel und gegen das EU-Satellitenregime in Kiew erhoben. […]","Ausland","2025-10-08T13:16:26+00:00","2025-10-07T07:29:45+00:00","2025-10-07T07:29:45+00:00","","https://deutschlandkurier.de/2025/10/viktor-orban-bruessel-und-kiew-planen-umsturz-in-ungarn/","Der ungarische Ministerpräsident Viktor Orbán ist davon überzeugt, dass EU-Kommissionspräsidentin von der Leyen und der ukrainische Präsident Wolodymyr Selenskyj konspirieren, um einen Umsturz in Ungarn herbeizuführen und um eine ihnen willfährige Regierung in Budapest zu etablieren.

Ungarns Ministerpräsident Viktor Orbán hat schwerwiegende Anschuldigungen gegen die EU-Kommission in Brüssel und gegen das EU-Satellitenregime in Kiew erhoben. Der ungarische Premier glaubt Beweise dafür zu haben, dass sich hochrangige EU-Politiker mit der Ukraine verschworen haben, um die demokratisch gewählte Regierung in Budapest zu stürzen. Ohne beide namentlich zu nennen, dürfte Orbán damit auf die deutsche EU-Kommissionspräsidentin Ursula von der Leyen (CDU) und dem ihr devot ergebenen ukrainischen Marionetten-Präsidenten Wolodymyr Selenskyj anspielen.

Dazu muss man wissen: Das Verhältnis zwischen Orbán und der EU-Kommission gilt seit Jahren als angespannt. Streitpunkte zwischen Brüssel und Budapest sind regelmäßig die Militärhilfe der EU für die Ukraine, die Sanktionen gegen Russland und das Drängen von der Leyens sowie mehrerer europäischer Regierungen, die Ukraine in die Union aufzunehmen.

Orbán: Von der Leyen will pro-ukrainische Regierung

„Versuche der Einflussnahme auf die ungarische Innenpolitik kommen nicht nur aus Brüssel, sondern auch aus Kiew“, sagte Orbán im Podcast der konservativen ungarischen Wochenzeitung „Hetek“. Wörtlich führte er weiter aus: „Das Ziel Brüssels ist es, eine pro-ukrainische Regierung in Ungarn zu installieren.“

Orbán verurteilte zugleich die aus seiner Sicht Militarisierungspläne der EU und stellte klar, er werde alles tun, damit Ungarn nicht in einen möglichen Krieg mit Russland hineingezogen werde – auch wenn die meisten anderen EU-Mitgliedstaaten dazu nach seiner Einschätzung bereit wären.

Auch Slowakei und Serbien im EU-Visier

Der ungarische Außenminister Peter Szijjarto zieht den Bogen noch weiter als Orbán. Er sagte, dass es „in Mitteleuropa“ auch Pläne zur Destabilisierung der Slowakei und Serbiens gebe. Der EU-Führung sei es ein Dorn im Auge, wenn EU-Staaten ihre nationalen Interessen priorisieren und sich Brüssel widersetzen würden, schrieb Szijjarto unlängst auf Facebook.

EU plant Orbáns Sturz spätestens 2026

Nun mag es nicht allzu sehr überraschen, dass der Kreml die beiden ungarischen Politiker in ihrem Verdacht bestätigt. Laut dem russischen Auslandsgeheimdienst SWR soll EU-Chefin von der Leyen ernsthaft Szenarien für einen Regimewechsel in Ungarn „prüfen“. Demnach wolle Brüssel Péter Magyar, den Vorsitzenden der ungarischen Oppositionspartei Tisza, spätestens bei den Parlamentswahlen 2026 an die Macht bringen. Es gebe bereits Umtriebe ukrainischer Agenten in Ungarn und Beeinflussungen durch Lobby-Organisationen.

Erst kürzlich hatte Ungarns Premier dem Regime in Kiew vorgeworfen, geheime Operationen in Ungarn durchzuführen, um die bevorstehenden Parlamentswahlen zu beeinflussen und eine pro-ukrainische und EU-freundliche Regierung in Budapest an die Macht zu bringen. Orbán sieht die Umsturzpläne in einem unmittelbaren Zusammenhang mit der Blockade eines EU-Beitritts der Ukraine durch Budapest."
"95229","„Mehr Spengler wagen!“ – Martin Reichardt (AfD) über Ordnung, Identität und Deutschlands Zukunft","Sehen Sie hier beim Deutschland-Kurier die vollständige Rede des Bundestagsabgeordneten und Landesvorsitzenden der AfD Sachsen-Anhalt, Martin Reichardt, beim 5. #Preußenfest in #Schnellroda.","Politik","2025-10-07T07:39:21+00:00","2025-10-07T07:39:21+00:00","2025-10-07T07:39:21+00:00","","https://deutschlandkurier.de/2025/10/mehr-spengler-wagen-martin-reichardt-afd-ueber-ordnung-identitaet-und-deutschlands-zukunft/","Sehen Sie hier beim Deutschland-Kurier die vollständige Rede des Bundestagsabgeordneten und Landesvorsitzenden der AfD Sachsen-Anhalt, Martin Reichardt, beim 5. #Preußenfest in #Schnellroda."
"95232","„Wir lassen uns Preußen nicht verbieten!“ | Hans-Thomas Tillschneider (MdL | AfD Sachsen-Anhalt)","Der Veranstalter des 5. #Preußenfestes, Hans-Thomas Tillschneider, im Interview mit DeutschlandKURIER-Reporter Johannes Schüller","Politik","2025-10-07T09:52:57+00:00","2025-10-07T09:50:34+00:00","2025-10-07T09:50:34+00:00","","https://deutschlandkurier.de/2025/10/wir-lassen-uns-preussen-nicht-verbieten-hans-thomas-tillschneider-mdl-afd-sachsen-anhalt/","Der Veranstalter des 5. #Preußenfestes, Hans-Thomas Tillschneider, im Interview mit DeutschlandKURIER-Reporter Johannes Schüller"
"95236","„Nie wieder Sozialismus!“ – Oliver Kirchner (AfD) auf dem 5. Preußenfest in Schnellroda","Sehen Sie hier beim Deutschland-Kurier die vollständige Rede des Vorsitzenden der AfD-Fraktion im Landtag von Sachsen-Anhalt, Oliver Kirchner, auf dem 5. #Preußenfest des AfD-Kreisverbandes Saalekreis (AfD Sachsen-Anhalt) in #Schnellroda.","Politik","2025-10-07T12:01:53+00:00","2025-10-07T12:01:53+00:00","2025-10-07T12:01:53+00:00","","https://deutschlandkurier.de/2025/10/nie-wieder-sozialismus-oliver-kirchner-afd-auf-dem-5-preussenfest-in-schnellroda/","Sehen Sie hier beim Deutschland-Kurier die vollständige Rede des Vorsitzenden der AfD-Fraktion im Landtag von Sachsen-Anhalt, Oliver Kirchner, auf dem 5. #Preußenfest des AfD-Kreisverbandes Saalekreis (AfD Sachsen-Anhalt) in #Schnellroda."
"95239","„Wir sind die Erben Oswald Spenglers — wir sind die Preußen in der AfD!“ | Hans-Thomas Tillschneider (AfD Sachsen-Anhalt)","","Politik","2025-10-07T12:54:42+00:00","2025-10-07T12:54:42+00:00","2025-10-07T12:54:42+00:00","","https://deutschlandkurier.de/2025/10/wir-sind-die-erben-oswald-spenglers-wir-sind-die-preussen-in-der-afd-hans-thomas-tillschneider-afd-sachsen-anhalt/",""
"95242","„Preußen prägte das Wesen unseres Vaterlandes!“ | Rüdiger Lucassen (AfD)","Sehen Sie hier beim Deutschland-Kurier die vollständige Rede des AfD-Bundestagsabgeordneten Rüdiger Lucassen (AfD-NRW) beim 5. #Preußenfest in #Schnellroda.","Politik","2025-10-07T15:05:41+00:00","2025-10-07T15:05:41+00:00","2025-10-07T15:05:41+00:00","","https://deutschlandkurier.de/2025/10/preussen-praegte-das-wesen-unseres-vaterlandes-ruediger-lucassen-afd/","Sehen Sie hier beim Deutschland-Kurier die vollständige Rede des AfD-Bundestagsabgeordneten Rüdiger Lucassen (AfD-NRW) beim 5. #Preußenfest in #Schnellroda."
"95245","„Wir lassen uns Preußen nicht nehmen!“ | Martin Reichardt (AfD)","Der AfD-Bundestagsabgeordnete und Landesvorsitzende der AfD Sachsen-Anhalt Martin Reichardt im Interview mit DeutschlandKURIER-Reporter Johannes Schüller auf dem 5. #Preußenfest des AfD-Kreisverbandes Saalekreis (AfD Sachsen-Anhalt) in #Schnellroda.","Politik","2025-10-07T15:52:03+00:00","2025-10-07T15:52:03+00:00","2025-10-07T15:52:03+00:00","","https://deutschlandkurier.de/2025/10/wir-lassen-uns-preussen-nicht-nehmen-martin-reichardt-afd/","Der AfD-Bundestagsabgeordnete und Landesvorsitzende der AfD Sachsen-Anhalt Martin Reichardt im Interview mit DeutschlandKURIER-Reporter Johannes Schüller auf dem 5. #Preußenfest des AfD-Kreisverbandes Saalekreis (AfD Sachsen-Anhalt) in #Schnellroda."
"95249","DK-Chefredakteur Bendels holt Oswald Spengler aus dem Jenseits zum Preußenfest nach Schnellroda – Saal tobt!","Sehen Sie hier die Rede des DK-Herausgebers und Chefredakteurs David Bendels beim 5. Preußenfest in Schnellroda","Politik","2025-10-07T17:32:27+00:00","2025-10-07T17:31:07+00:00","2025-10-07T17:31:07+00:00","","https://deutschlandkurier.de/2025/10/dk-chefredakteur-bendels-holt-oswald-spengler-aus-dem-jenseits-zum-preussenfest-nach-schnellroda-saal-tobt/","Sehen Sie hier die Rede des DK-Herausgebers und Chefredakteurs David Bendels beim 5. Preußenfest in Schnellroda"
"95252","„Von Sachsen-Anhalt aus leiten wir die Wende für ganz Deutschland ein!“ | Ulrich Siegmund (MdL, Spitzenkandidat der AfD Sachsen-Anhalt)","","Politik","2025-10-09T10:31:30+00:00","2025-10-07T19:36:59+00:00","2025-10-07T19:36:59+00:00","","https://deutschlandkurier.de/2025/10/von-sachsen-anhalt-aus-leiten-wir-die-wende-fuer-ganz-deutschland-ein-ulrich-siegmund-mdl-spitzenkandidat-der-afd-sachsen-anhalt/",""
