"id","title","teaser","categories","lastModified","created","publishedAt","authors","url","article_text"
"97490","Das ist wirklich drin im Rentenpaket der Regierung: Steuererhöhungen und Rentenkürzungen!","Führende Ökonomen befürchten, dass das vom Deutschen Bundestag mit Ach und Krach verabschiedete Rentenpaket der Regierung zu Steuererhöhungen führen wird. Absehbar ist zudem, dass es für viele Arbeitnehmer zu Rentenkürzungen durch die Hintertür kommen wird. „Es sind höhere Lohnnebenkosten, Steuererhöhungen und eine Ausweitung der Schuldenspielräume zu erwarten“, sagte die Wirtschaftsweise Veronika Grimm der „Bild“-Zeitung. Das […]","Politik","2025-12-07T17:01:36+00:00","2025-12-06T08:54:19+00:00","2025-12-06T08:54:19+00:00","","https://deutschlandkurier.de/2025/12/das-ist-wirklich-drin-im-rentenpaket-der-regierung-steuererhoehungen-und-rentenkuerzungen/","Führende Ökonomen befürchten, dass das vom Deutschen Bundestag mit Ach und Krach verabschiedete Rentenpaket der Regierung zu Steuererhöhungen führen wird. Absehbar ist zudem, dass es für viele Arbeitnehmer zu Rentenkürzungen durch die Hintertür kommen wird.

„Es sind höhere Lohnnebenkosten, Steuererhöhungen und eine Ausweitung der Schuldenspielräume zu erwarten“, sagte die Wirtschaftsweise Veronika Grimm der „Bild“-Zeitung. Das werde ihrer Prognose nach Deutschlands Wirtschaft weiter schwächen und sei sehr bedenklich.

Auch der Präsident des Zentrums für Europäische Wirtschaftsforschung (ZEW) in Mannheim, Achim Wambach, warnt: „Die Gefahr ist groß, dass das Rentenpaket mittelfristig über höhere Steuern finanziert werden muss.“ Es komme jetzt darauf an, welche Vorschläge für Grundsatzreformen die Rentenkommission mache. Diese soll möglicherweise noch in diesem Monat zusammentreten.

Stefan Kooths vom Kieler Institut für Weltwirtschaft, sagt voraus: „Das Rentenplus wird künftig entweder über höhere Steuern oder Ausgabenkürzungen finanziert werden. Es werden wohl eher Steuererhöhungen werden, was die ökonomische Dynamik weiter belastet.“

Arbeiten bis wir schwarz werden

Schon jetzt ist klar: Das Rentenpaket dürfte für viele Ruheständler auch zu Rentenkürzungen führen. Sozialministerin Bärbel Bas (SPD) wünscht sich von der Rentenkommission „umfangreiche und auch mutige Schritte“. Dazu gehört dem Koalitions-Kompromiss zufolge eine Verlängerung der Lebensarbeitszeit (Renteneintrittsalter).

Um das Rentensystem zu stabilisieren, ohne Beiträge drastisch zu erhöhen oder Renten direkt zu kürzen, diskutieren Experten darüber, das Renteneintrittsalter an die steigende Lebenserwartung zu koppeln. Ein späteres gesetzliches Renteneintrittsalter bedeutet aber nichts anderes als eine Rentenkürzung durch die Hintertür. Denn wer nicht arbeiten will oder kann, bis er oder sie schwarz wird und vorher aus dem Berufsleben ausscheidet, muss mathematische Rentenabschläge in Kauf nehmen. Diese fallen umso höher aus, je früher man in Rente geht.

Fest steht bislang nur: Bis 2040 kommen durch das Rentenpaket Mehrkosten auf den Bundeshaushalt von 233 Milliarden Euro zu. Wie die Lasten auf Dauer finanziert werden sollen, steht in den Sternen. Die mittelfristige Finanzplanung der Regierung läuft nur bis 2029. Allein bis dahin klafft jetzt schon ein Finanzloch von rund 170 Milliarden Euro im Bundeshaushalt."
"97496","Demos gegen Wehrpflicht: DESHALB streiken die Schüler!","Am Freitag demonstrierten bundesweit Schüler gegen eine mögliche Wiedereinführung der Wehrpflicht! In Sachsen warnte das CDU-geführte Kultusministerium vor den Schulstreiks! In der Landeshauptstadt Dresden blieben Schüler dem Unterricht dennoch fern. Der Deutschland-Kurier🇩🇪 war vor Ort und hat sich mit den Schülern und anwesenden Bürgern unterhalten!","Politik","2025-12-06T10:07:54+00:00","2025-12-06T10:07:54+00:00","2025-12-06T10:07:54+00:00","","https://deutschlandkurier.de/2025/12/demos-gegen-wehrpflicht-deshalb-streiken-die-schueler/","Am Freitag demonstrierten bundesweit Schüler gegen eine mögliche Wiedereinführung der Wehrpflicht!

In Sachsen warnte das CDU-geführte Kultusministerium vor den Schulstreiks! In der Landeshauptstadt Dresden blieben Schüler dem Unterricht dennoch fern.

Der Deutschland-Kurier 🇩🇪 war vor Ort und hat sich mit den Schülern und anwesenden Bürgern unterhalten!"
"97502","Klima-Irrsinn: Deutschland droht 100-Milliarden-Klimastrafe der EU!","Der Klima-Irrsinn schlägt immer absurdere Kapriolen, der Klima-Musterknabe Deutschland hat sich selbst ins Knie geschossen! Weil die Bundesrepublik ihre der EU zugesagten Einsparungen voraussichtlich weit verfehlen wird, drohen Medienberichten zufolge saftige Strafen aufgrund der EU-Klimaschutzverordnung (ESR). Die Rede ist in der Summe von bis zu 100 Milliarden Euro und mehr! Hintergrund: Bis 2030 muss Deutschland […]","Klimaschwindel","2025-12-06T10:32:49+00:00","2025-12-06T10:32:49+00:00","2025-12-06T10:32:49+00:00","","https://deutschlandkurier.de/2025/12/klima-irrsinn-deutschland-droht-100-milliarden-klimastrafe-der-eu/","Der Klima-Irrsinn schlägt immer absurdere Kapriolen, der Klima-Musterknabe Deutschland hat sich selbst ins Knie geschossen! Weil die Bundesrepublik ihre der EU zugesagten Einsparungen voraussichtlich weit verfehlen wird, drohen Medienberichten zufolge saftige Strafen aufgrund der EU-Klimaschutzverordnung (ESR). Die Rede ist in der Summe von bis zu 100 Milliarden Euro und mehr!

Hintergrund: Bis 2030 muss Deutschland seine CO2-Emissionen in den Bereichen Gebäude und Verkehr nach den von der Bundesregierung selbst betriebenen EU-Vorgaben drastisch senken. Verfehlt Deutschland diese Ziele (was so sicher ist wie das Amen in der Kirche), muss Berlin Strafzahlungen in zwei- bis dreistelliger Milliardenhöhe nach Brüssel überweisen. Zu diesem Ergebnis kommt eine Untersuchung des „Bundesverbands energieeffiziente Gebäudehülle e.V.“ (BuVEG). Demnach könnten die Kosten für die deutschen Steuerzahler bis 2030 durch diesen Schuss ins eigene Knie sogar auf mehr als 100 Milliarden Euro steigen.

Warum muss Deutschland zahlen?

Die drohenden Zahlungen ergeben sich aus der sogenannten „Effort-Sharing-Regulation“ (ESR), die verbindliche Ziele bezüglich der Emissionen für jedes EU-Land festlegt. Die ESR ist Teil des von EU-Kommissionspräsidentin Ursula von der Leyen (CDU) propagierten Klimapakets „Fit for 55“. Die Ziele sind nach Bruttoinlandsprodukt pro Kopf, also der Wirtschaftskraft, gestaffelt. Bedeutet Länder wie Rumänien, Griechenland, Spanien oder Polen werden weniger streng bewertet und profitieren mittelbar von den Strafzahlungen Deutschlands.

Als Bumerang erweist sich, dass der von der Bundesregierung maßgeblich initiierte EU-Wahnsinn alle Bereiche umfasst, in denen Deutschland traditionell hohe Emissionen hat: Verkehr, Gebäude, Landwirtschaft, Abfallwirtschaft und kleinere Industrieanlagen. Deutschland verbucht in diesen ESR-Sektoren aber auch Emissionen, von denen es keinen unmittelbaren Nutzen hat. Denn als Transitland tragen wir Deutschen zum Beispiel den CO2-Ausstoß internationaler Lkw- und Bahnverkehre, von denen dann andere EU-Länder profitieren."
"97505","Polizeigewerkschaft-Chef Wendt: „Unkontrollierte Massenmigration ist für Terror und Kriminalität mitverantwortlich!“","Der Chef der Deutschen Polizeigewerkschaft (DPolG), Rainer Wendt, nimmt bei seinen Analysen der Sicherheitslage kein  Blatt vor den Mund! Im exklusiven Interview mit dem Deutschland-Kurier🇩🇪 äußert er sich zu den drängenden Fragen der Zeit – Linksextremismus, Migration, allgemeine Sicherheitslage und Brandmauer zur AfD!","Politik","2025-12-06T12:03:27+00:00","2025-12-06T12:03:27+00:00","2025-12-06T12:03:27+00:00","","https://deutschlandkurier.de/2025/12/polizeigewerkschaft-chef-wendt-unkontrollierte-massenmigration-ist-fuer-terror-und-kriminalitaet-mitverantwortlich/","Der Chef der Deutschen Polizeigewerkschaft (DPolG), Rainer Wendt, nimmt bei seinen Analysen der Sicherheitslage kein Blatt vor den Mund!

Im exklusiven Interview mit dem Deutschland-Kurier 🇩🇪 äußert er sich zu den drängenden Fragen der Zeit – Linksextremismus, Migration, allgemeine Sicherheitslage und Brandmauer zur AfD!"
"97508","Gerold Otten (AfD): Statt Diplomatie verschenkt Außenminister Wadephul (CDU) Waffen an Kiew","AfD-Außenexperte Gerold Otten hat die Ankündigung von Bundesaußenminister Johann Wadephul (CDU), für weitere 200 Millionen Dollar US-Waffen für die Ukraine zu kaufen und fünf Millionen Euro in einen Nato-Fonds für Kiew einzuzahlen, als ein „verheerendes Signal“ scharf kritisiert. Otten, der dem Auswärtigen Ausschuss des Deutschen Bundestages angehört, verlangte stattdessen endlich diplomatische Anstrengungen der Bundesregierung für […]","Ukraine","2025-12-06T13:18:43+00:00","2025-12-06T13:18:43+00:00","2025-12-06T13:18:43+00:00","","https://deutschlandkurier.de/2025/12/gerold-otten-afd-statt-diplomatie-verschenkt-aussenminister-wadephul-cdu-waffen-an-kiew/","AfD-Außenexperte Gerold Otten hat die Ankündigung von Bundesaußenminister Johann Wadephul (CDU), für weitere 200 Millionen Dollar US-Waffen für die Ukraine zu kaufen und fünf Millionen Euro in einen Nato-Fonds für Kiew einzuzahlen, als ein „verheerendes Signal“ scharf kritisiert. Otten, der dem Auswärtigen Ausschuss des Deutschen Bundestages angehört, verlangte stattdessen endlich diplomatische Anstrengungen der Bundesregierung für eine Beendigung des Ukraine-Krieges.

Der AfD-Politiker stellte fest: „Erneut fließen hunderte Millionen Euro deutscher Steuergelder in den Ukraine-Krieg, während die eigene Bevölkerung unter immer größeren finanziellen Lasten leidet.“

Mehr Waffen bedeuten aus Sicht der AfD einzig eine Verlängerung des Leids und des Sterbens an der Front. „Statt immer neuer Rüstungspakete für einen Abnutzungskrieg zu beschließen, braucht es endlich eine diplomatische Großoffensive“, forderte Otten. Deutsche Außenpolitik müsse wieder Friedenspolitik sein."
"97511","EU: Telegram-Gründer vermutet hinter Millionen-Strafe gegen Elon Musk Zensur-Willkür","Die EU-Kommission hat gegen den früheren Trump-Berater Elon Musk eine Strafe in Höhe von 120 Millionen Euro verhängt. Der Grund: Seine Plattform X verstoße angeblich gegen die Transparenzregeln der Europäischen Gemeinschaft. Für Pawel Durow, dem Gründer des Messengerdienstes Telegram, scheint ein anderer Grund naheliegender zu sein: Die EU wolle X und andere soziale Netzwerke auf […]","EU","2025-12-06T14:07:46+00:00","2025-12-06T14:07:46+00:00","2025-12-06T14:07:46+00:00","","https://deutschlandkurier.de/2025/12/eu-telegram-gruender-vermutet-hinter-millionen-strafe-gegen-elon-musk-zensur-willkuer/","Die EU-Kommission hat gegen den früheren Trump-Berater Elon Musk eine Strafe in Höhe von 120 Millionen Euro verhängt. Der Grund: Seine Plattform X verstoße angeblich gegen die Transparenzregeln der Europäischen Gemeinschaft. Für Pawel Durow, dem Gründer des Messengerdienstes Telegram, scheint ein anderer Grund naheliegender zu sein: Die EU wolle X und andere soziale Netzwerke auf Linie bringen.

Die Strafe gegen Musk wird fadenscheinig unter anderm damit begründet, dass der weiße Haken auf blauem Grund, mit dem X-Accounts als echt verifiziert werden, nicht generell ein Nachweis für die Echtheit der Inhaber sei.

Telegram-Gründer Pawel Durow wirft der EU vor, absichtlich nicht umsetzbare Regeln zu erlassen, um anschließend Technologiekonzerne, die sich der EU-Zensur widersetzen, disziplinieren zu können. Der russische Internet-Unternehmer verweist auf seinen eigenen Fall.

Durow wurde im Jahr 2024 in Frankreich festgenommen und angeklagt. Ihm wurde vorgeworfen, an Drogenhandel, Geldwäsche und Kindesmissbrauch mitschuldig zu sein, weil er nicht genug getan habe, um illegale Aktivitäten auf seinem Messengerdienst Telegram zu unterbinden. Durow hält das für vorgeschoben. Tatsächlich habe Frankreich ihn im Rahmen des Verfahrens drängen wollen, im Vorfeld der Wahlen in Moldawien und Rumänien Beiträge der Opposition zu zensieren.

Der Wirbel jetzt um X macht deutlich: Wieder einmal muss ganz offensichtlich die Krücke wahlweise angeblicher Intransparenz oder angeblicher Desinformation herhalten, um die Meinungsfreiheit einzuschränken.

Elon Musk hat den Verantwortlichen der EU persönliche Konsequenzen angedroht, was wohl als verklausulierter Hinweis darauf verstanden werden darf, individuelle Accounts, wie etwa den von Kommissionschefin Ursula von der Leyen (CDU), zu sperren. Der US-Milliardär schreibt auf X wörtlich: „Die ‚EU‘ hat nicht nur gegen @X diese verrückte Strafe verhängt, sondern auch gegen mich persönlich, was noch irrer ist! Daher scheint es angemessen, unsere Antwort nicht nur auf die EU zu richten, sondern auch auf die Personen, die diese Maßnahme gegen mich ergriffen haben.“"
"97514","„Verfassungsschutz“: Tollwütiger Wachhund der Machtelite","Ein Kommentar des österreichischen DeutschlandKURIER🇩🇪-Kolumnisten Gerald Grosz.","Politik","2025-12-06T14:27:43+00:00","2025-12-06T14:45:34+00:00","2025-12-06T14:45:34+00:00","","https://deutschlandkurier.de/2025/12/verfassungsschutz-tollwuetiger-wachhund-der-machtelite/","Ein Kommentar des österreichischen DeutschlandKURIER 🇩🇪 -Kolumnisten Gerald Grosz."
