source,POSITIONS-/PARTEILICHKEITS-BIAS,VERZERRUNG/MANIPULATION,DISINFORMATION/FALSCHDARSTELLUNG,VERSAGEN/INKOMPETENZ,NEUTRAL,IRRELEVANT
Antispiegel,75,163,45,26,223,8
Compact,81,58,34,9,283,47
Deutschlandkurier,94,21,18,5,242,1
Nius,362,296,108,91,1127,42
RT_de,172,160,43,23,1433,31
Tagesschau,31,13,5,5,4281,35
Tichys_Einblick,594,373,124,163,979,49
