"Date","Title","Inhalt","URL"
"2025-09-13","Friedensdemo: Mit Wagenknecht, Hallervorden & Massiv"," 

Friedensdemo vor dem Brandenburger Tor: Um sich für Frieden in Nahost und Europa einzusetzen, hat sich BSW-Chefin Sahra Wagenknecht mit Kabarett-Legende Dieter Hallervorden und Erfolgsrapper Massiv verbündet.

Wir haben mit Teilnehmern gesprochen und Wagenknecht nach Charlie Kirk gefragt.

COMPACT-TV ist für Sie gratis! Bitte spenden Sie zu unserer Unterstützung unter compact-online.de/unterstuetzen.","https://www.compact-online.de/friedensdemo-mit-wagenknecht-hallervorden-massiv/"
"2025-09-13","Deutsche Helden: Von Arminius bis Richthofen","Wir brauchen nicht in Sack und Asche gehen – auch die großen Gestalten unseres Volkes verdienen Würdigung. Genau das vollbringt Historiker Jan von Flocken mit der COMPACT-Geschichtsausgabe „Deutsche Helden – Unser Vermächtnis aus 2000 Jahren“. Die Größten in mitreißenden Porträts. Hier mehr erfahren.

Mit dem Begriff des Helden tut man sich von Schleswig bis Tirol bekanntlich schwer. Auch in dieser Hinsicht unterscheiden sich die Deutschen von ihren Nachbarn. Nationalhelden wie etwa in Spanien El Cid, in Polen Jan Sobieski, in Frankreich Jeanne d’Arc, Alexander Newski in Russland oder Simon Bolivar in Venezuela seien „hierzulande völlig ausgeschlossen“, meint der Historiker Jan von Flocken im Vorwort zu COMPACT-Geschichte „Deutsche Helden – Unser Vermächtnis aus 2000 Jahren“. Selbst die DFB-Elf dürfe „sich nicht mehr Nationalmannschaft nennen, denn ebenso wie der Held ist die Nation des Teufels“.

Unsere Größten

Der 1954 in Borna geborene Historiker, der 1991 für seinen Beitrag zur „Aufdeckung und Behandlung von Menschenrechtsverletzungen durch die DDR-Justiz“ mit dem „Wächterpreis der deutschen Tagespresse“ ausgezeichnet wurde und neun Jahre lang als Redakteur für den Focus tätig war, verdeutlicht mit dem flüssig geschriebenen und reich bebilderten Kompendium deutscher Heldengestalten, dass unser Land auch in dieser Hinsicht sein Licht nicht unter den Scheffel zu stellen braucht.

Von Flockens Porträts in COMPACT-Geschichte „Deutsche Helden“ erstrecken sich über gut zweitausend Jahre: Von Arminius alias Hermann dem Cherusker, der die Germanenstämme vereinte und den Römern im Jahre 9 nach Christus in der Varusschlacht eine vernichtende Niederlage zufügte, über den „Urvater Deutschlands“ Kaiser Otto I. (912–973), den Retter des Deutschen Ordens Heinrich von Plauen (1370–1429), Landsknechtführer Georg von Frundsberg (1473–1528) und den Verteidiger Wiens Ernst Rüdiger von Starhemberg (1638–1701) bis zum preußischen Kavalleristen Friedrich Wilhelm von Seydlitz (1721–1773), dem „Roten Baron“ Manfred von Richthofen (1892–1918) und „Wüstenfuchs“ Erwin Rommel (1891–1944).

Danziger Seevogel

Daneben befasst er sich aber auch mit heute weniger bekannten Helden der deutschen Geschichte. Dazu gehört der Danziger Hanseadmiral und Kaperfahrer Paul Beneke (1440–1480), der in der zeitgenössischen Detmarscher Chronik als „en hart Seevogel“ charakterisiert wurde.

Beneke erwarb sich schon in jungen Jahren legendären Ruhm, als er in der Seeschlacht bei Bornholm am 26./27. September 1455 den Führer der Dänen mit seinem Enterbeil kampfunfähig machte. Zur historisch überragenden Gestalt wurde er schließlich durch den großen Krieg zwischen England und der Hanse von 1468 bis 1474. Sein Wirken hatte maßgeblichen Anteil daran, dass der deutsche Städteverbund seine Vormachtstellung auf den Nordmeeren für weitere 100 Jahre behaupten konnte.

Zum Schrecken des Feindes wurde Beneke, als er am 3. Oktober 1472 eines der größten hansischen Kriegsschiffe als Kommandant übernahm. Von Flocken schreibt in COMPACT-Geschichte „Deutsche Helden“:

„In seiner Heimatstadt hat man inzwischen ein neues unerhörtes Kriegsschiff in Dienst gestellt. Es ist der Dreimaster ‚Peter von Danzig‘. Mit einer Länge von 52 Metern, einer Tragfähigkeit von 800 Tonnen, 300 Mann Besatzung und 50 Soldaten sowie 18 Kanonen zählt es zu den größten Schiffen Nordeuropas.“

Am 19. August 1471 war die „Peter von Danzig“ erstmals auf Kriegsfahrt gegangen, zunächst unter dem Kommandanten Berndt Pawest, der mit dieser Aufgabe überfordert war und Beneke als seinen Nachfolger vorschlug. Den Danziger Ratsmännern sagte er: „Ich hoffe, dass es Euch Herren nicht zuwider ist, denn dieser Mann ist berufen und geeignet wie kein anderer.“

Die Schlacht auf der Themse

Von Flocken in COMPACT-Geschichte „Deutsche Helden“: „Das beweist Paul Beneke im Frühling 1473, als er vor der Themsemündung auf das englische Schiff ‚Saint Thomas‘ trifft. Er geht mit seiner Karavelle längsseits und setzt die geschmiedeten Kanonen ein: ‚Schotbussen‘, leichtkalibrige Geschütze, die über dem Schanzkleid festgezurrt sind und ‚Lotbussen‘, die Eisenkugeln verschießen.“

Und weiter:

„Die ‚Saint Thomas‘ hat in Brügge eine Ladung an Bord genommen, welche über die Nordsee in den Atlantik und von dort über das Mittelmeer nach Pisa und Florenz verschifft werden soll. Auftraggeber ist die mächtige Florentiner Kaufmannsfamilie der Medici. Eine reiche Ladung aus Seidenstoffen, Gold, Edelsteinen und Gewürzen wird von Benekes Männern nach hartem Kampf erbeutet. Ihr wertvollster Schatz ist das Triptychon ‚Jüngstes Gericht‘, ein zwei mal drei Meter großes Gemälde des Flamen Hans Memling. Man schenkt es der Heimatstadt Danzig, wo es noch heute in der Marienkirche zu sehen ist.“

Nachdem Beneke auch die kurzzeitig mit London verbündeten Franzosen geschlagen hatte, musste England 1474 im Vertrag zu Utrecht die Vorherrschaft der Hanse hinnehmen. Der „Seevogel“ starb um 1480, vermutlich an Cholera, in seiner Heimatstadt Danzig.

Dem „Orkus des Totschweigens“ entrissen

Identität braucht Wurzeln. Ohne Erinnerung an vorbildliche Gestalten der eigenen Geschichte werden diese Wurzeln gekappt. Von Flocken beklagt: „Was der Staat und seine besoldeten Helfershelfer an Schulen, Universitäten, Instituten, Medien etc. seit Jahrzehnten exekutieren: das Verschwinden unserer von Helden maßgeblich geprägten Vergangenheit im ewigen Orkus des Totschweigens – es soll ihnen nicht gelingen.“ Dem wirkt der Historiker mit COMPACT-Geschichte „Deutsche Helden“ entgegen.

Ruhm und Ehre: COMPACT-Geschichte „Deutsche Helden – Unser Vermächtnis aus 2000 Jahren“ bietet Ihnen mitreißende Porträts unserer Größten. Gehört in jeden patriotischen Haushalt! Hier bestellen.","https://www.compact-online.de/deutsche-helden-von-arminius-bis-richthofen/"
"2025-09-13","Gysi leaks? Germany leaks!","Wenn Politiker zu viel reden: Die Wikileaks-Dokumente zeigen, wie sehr das Führungspersonal unserer Parteien sich US-Interessen verpflichtet glaubt. Folgen hatte der Skandal nicht. _ von Christian Weilmeier  Übersetzt bedeutet das englische to leak so viel wie lecken, tropfen. Die Internetpiraten von Wikileaks haben mit Hilfe von Insidern ein Loch in die Informationskanäle der US-Außenpolitik gebohrt, aus dem es seit einem Jahr beständig leckt. Auf diese Weise fanden Ende des Jahres 2010 etwa eine viertel Million

Dieser Inhalt aus unserer Printausgabe ist registrierten Benutzern vorbehalten.

Bitte loggen Sie sich hier ein, oder holen Sie sich jetzt den Digital - Pass für Smartphone, Tablet und Desktop

Anmelden
Benutzername oder E-Mail-Adresse
Passwort
 Angemeldet bleiben  
Passwort vergessen? Klicke hier, um es zurückzusetzen.","https://www.compact-online.de/gysi-leaks-germany-leaks/"
"2025-09-13","Im Kampf gegen organisierte Verleumder","Ein Satz mit Sprengkraft: Drew Sullivan, Gründer des „Organized Crime and Corruption Reporting Project“ (OCCRP), brüstete sich in einer NDR-Dokumentation damit, „wahrscheinlich fünf oder sechs Regierungen gestürzt“ zu haben. Lesen Sie in COMPACT „Die Diktatorin“ unseren Blick hinter die Kulissen der EU-Mächtigen. Hier mehr erfahren.

Fünf oder sechs Regierungen gestürzt: Für ein angeblich unabhängiges Mediennetzwerk eine bemerkenswerte Selbstoffenbarung. Die EU bezahlte dem Projekt nach der Wahl mehr als eine halbe Million Euro.
Sullivan steht mit seiner Hybris nicht allein. Vertreter von USAID, jener Behörde, die als CIA-Außenstelle gilt, bestätigten, dass Washington bis vor kurzem die Programmausrichtung und sogar Personalentscheidungen beim OCCRP bestimmte. Die Enthüllungen waren dem Netzwerk so unangenehm, dass die Doku nie ausgestrahlt wurde.

So läuft die Schmutzkampagne

Wie das System funktioniert, zeigte sich bei der letzten EU-Wahl. Über das OCCRP-Mitglied Investigace in Prag wurden Gerüchte gestreut, wonach die AfD-Kandidaten Petr Bystron und Maximilian Krah über das Medium Voice of Europe Schmiergelder erhalten hätten. Beweise gab es keine – dennoch griff beispielsweise Der Spiegel die Anschuldigungen auf dankbar auf.

Die Folgen für Bystron: 23 Hausdurchsuchungen, mehrfacher Verlust seiner Immunität, zuletzt eine groteske Razzia in einem alten Schuhlager – ohne Ergebnis. „Dass Hausdurchsuchungen auf Basis bloßer Gerüchte durchgeführt werden – lanciert von ausländischen Interessenmedien – ist ein verheerendes Zeugnis für den Zustand der Rechtsstaatlichkeit in Deutschland“, so der AfD-Politiker. Auch andere EU-Kritiker wie Thierry Baudet oder Filip Dewinter gerieten ins Visier.

Brüssel als Geldgeber

Nun kam ans Licht: Seit November 2024 finanziert die EU das OCCRP direkt. 604.296 Euro flossen bisher unter dem Projekttitel „Next-IJ“. Offiziell gehe es um „journalistische Exzellenz“, in Wahrheit, so Bystron, um die gezielte Ausschaltung EU-kritischer Politiker.
Besonders zynisch: In den Projektpapieren prahlt das Netzwerk mit einem „inklusiven, gendersensiblen und kulturell angemessenen“ Ansatz – während es in der Praxis mit Schmutzkampagnen Wahlen beeinflusst.

Von USAID zu Soros

Noch bis 2023 kam über die Hälfte des OCCRP-Budgets von USAID. Mit der Schließung der Behörde durch Donald Trump versiegte die wichtigste Geldquelle. Nun springen Brüssel und private Milliardärsstiftungen ein – allen voran George Soros’ Open Society Foundations und die Luminate-Stiftung des eBay-Gründers Pierre Omidyar.

Bystron spricht vom „größten Medienskandal der Nachkriegsgeschichte“. Fakt ist: Ein US-gesteuertes Medienkartell, das offen mit Regierungsstürzen prahlt, wird jetzt mit EU-Steuergeld am Leben gehalten.

Unglaublich! Solche und weitere entlarvende Fakten sind enthalten in der COMPACT-Ausgabe „Die Diktatorin“. Hier bestellen.","https://www.compact-online.de/im-kampf-gegen-organisierte-verleumder/"
"2025-09-13","Musk nennt Schuldige","Zitat des Tages: „Die Linke ist die Partei des Mordens.“ (Elon Musk, X)

„Der von Musk beförderte Aufstieg der AfD führte zu Panik-Reaktionen im Establishment. Frankreichs Außenminister Jean-Noël Barrot stellte ein Verbot von X in der EU in Aussicht (‚ist nach unseren Gesetzen möglich‘).“ (COMPACT-Magazin)","https://www.compact-online.de/musk-nennt-schuldige/"
"2025-09-13","Paris: Linke Brandstifter und rechte Zuschauer","Als Reaktion auf Frankreichs Regierungskrise und die Ernennung von Sébastien Lecornu als neuen Premierminister riefen breite Bündnisse für den 10. September 2025 zu landesweiten Protesten auf. Es hätte eine breite Querfront werden können, doch am Ende dominierten Linksextremisten. Die Rechte blieb passiv, war auf der Straße faktisch nicht vorhanden. Ein Erlebnisbericht schildert die Eindrücke eines denkwürdigen Tages. Und auch in der Bundesrepublik wird es höchste Zeit, den Widerstand auf der Straße zu formieren: In unserer neuen COMPACT-Septemberausgabe „Der Totengräber. Wie Merz Deutschland das Grab schaufelt“ machen wir deutlich, warum der Bürger gegen die Wehrpflicht aufstehen muss. Unsere Kinder dürfen kein Kanonenfutter für fremde Interessen werden. Hier mehr erfahren.

_ von Matisse Royer

Am 10. September hätte die in den sozialen Netzwerken entstandene Steuerwut in Paris über alle Trennlinien hinweg vereint werden können. Aber wie immer, hat sich die extreme Linke ihrer bemächtigt und den Unmut der Bevölkerung in ein militantes Ventil verwandelt. Die Rechte hat keine Impulse gegeben. Sie hat nur beobachtet. Das Ergebnis: eine Straße, die von denselben Profilen besetzt ist, und eine Wut, die nur ihren Gegnern zugute kommt.

Diese Episode findet in einem schlechten politischen Klima statt. Die Regierung Bayrou stürzte, nachdem die Nationalversammlung den Haushalt abgelehnt hatte. Sébastien Lecornu, der zum Premierminister ernannt wurde, verkörpert nur eine hohle Kontinuität: ein weiterer bürgerlicher Zentrist, der austauschbar ist und die Sterilität des Systems symbolisiert. In diesem politischen Vakuum wird die Straße zum Schlachtfeld – und sie wird von der Linken gehalten.

Immer wieder wurden Polizisten – wie hier in Paris zu sehen – angegriffen. Foto: COMPACT
Fast 200.000 Demonstranten auf der Straße

Nach Angaben des Innenministeriums zählte „Bloquons tout“ 197.000 Teilnehmer, 800 Aktionen, 675 Festnahmen, 549 Polizeigewahrsamnahmen und 34 verletzte Ordnungskräfte. Diese scheinbar massiven Zahlen verschleiern eine einfache Realität: Nur die extreme Linke hat diese Mobilisierung angeführt.

Auf dem Place de la République versammelten sich am frühen Nachmittag bereits einige Tausend Menschen: palästinensische Fahnen, Kollektive von Sans-Papiers, entblößte Migranten, umgeben von Hundepunks. Ein folkloristisches und groteskes Bild, in dem sich ungeschliffene Kleinbürgerinnen und dickbäuchige kommunistische Aktivisten mischten. In Châtelet entfaltete sich die linke Routine: angezündete Mülltonnen, Flaschenwürfe, Slogans gegen Polizisten und pro-palästinensische Parolen. Kurzum, immer die gleichen Akteure, immer die gleichen Szenen.

Linksextreme Gewalt in den Abendstunden

Aber erst am Abend, an der Porte des Lilas, nahm das Spektakel eine andere Dimension an. Dort sahen wir die organisierte Gewalt. Dutzende von Aktivisten errichteten mit Methode Barrikaden. Ein riesiges Inferno verzehrte Cadis, elektrische Batterien und Stadtmobiliar. Eine 20-jährige Frau verbrannte sogar ein Buswartehäuschen – als ob das Verbrennen eines Glashäuschens den Staat zerstören könnte. Die Dummheit wurde zu einem politischen Akt erhoben.

Die linke Bewegung unterstrich durch die starken Proteste, dass sie mobilisieren kann. Foto: COMPACT

Die Feuerwehrleute, die den Brand löschen wollten, wurden von einem Dutzend Jugendlicher umzingelt und bedroht. Die Ankunft von Hunderten von CRS-Truppen ermöglichte es, sie zu befreien. Dann setzte sich die übliche Mechanik in Gang: Mörser, Tränengas, LBD. Die Antifas zogen sich geschlossen zurück und versteckten sich auf Parkplätzen oder in Geschäften, um dann wieder aufzutauchen und mit Flaschen zu werfen. Ein Guerillakrieg in der Gosse, der von exaltierten Außenseitern geführt wird.

Polizeigewalt gegen Umstehende

In diesem Chaos war die Absurdität vollkommen. Die Antifas schlugen wahllos zu, die CRS ebenso. Ich bekam das zu spüren: isoliert, weit weg von den Auseinandersetzungen, wurde ich von einem Schlagstock getroffen. Das ist die geniale Taktik der Ordnungskräfte: Auf diejenigen einschlagen, die nicht teilnehmen, und diejenigen, die brennen, laufen lassen. Als wir mit einigen CRS-Soldaten sprachen, spürten wir ihre Verwirrung: Sie waren überfordert, sammelten vor allem Wurfgeschosse ein und sorgten für einige Filtrationen.

Jenseits der Bilder der Gewalt drängt sich eine Realität auf: Die radikale Linke hat es geschafft, eine militante Jugend zu strukturieren. Sie ist organisiert, bereit zur Konfrontation und gibt der Linken einen ständigen Druckmittelhebel in die Hand.

Berichterstatter an vorderster Front: Matisse Royer und Paul Klemm. Foto: COMPACT
Rechte Bewegung auf der Straße kaum präsent

Die Rechte hingegen ist auf diesem Gebiet nicht in einer starken Position. Es gibt keine mobilisierte Jugend und keine Strategie für die Straße. Mit Ausnahme einiger Taschen – kürzlich in Wien im Zusammenhang mit der Remigration – bleibt sie unsichtbar. Sie klammert sich an die Idee, dass die Wahlurnen ausreichen, obwohl die Linke die Straße besetzt und ihre Agenda mit Gewalt durchsetzt.

Die Lektion ist klar: Die Linke weiß, dass die Straße eine politische Waffe ist. Wenn die Rechte das nicht ihrerseits lernt, wenn sie das Terrain nicht erobert, wird sie verlieren. Nicht nur die Wahlen, sondern auch den Kulturkampf und die Zukunft. Denn eines ist sicher: Auf der Straße wie in der Politik zahlt sich Abwesenheit immer aus. Und die Rechte hat sich an diesem 10. September erneut für die Abwesenheit entschieden.

Spannende Schilderungen aus Frankreich, doch auch in Deutschland müssen die Menschen auf die Straße gehen. In unserer COMPACT-Septemberausgabe „Der Totengräber. Wie Merz Deutschland das Grab schaufelt“ zeigen wir, wie diese Regierung systematisch gegen das eigene Volk agiert. Jetzt das Heft bestellen!","https://www.compact-online.de/paris-linke-brandstifter-und-rechte-zuschauer/"
