"Date","Title","Summary","Inhalt","URL"
2025-11-26,"Im Vergleich zum Vorjahresmonat: Preise für Schokolade sind um 22 Prozent gestiegen","Die Preise für Schokolade sind im Vergleich zum Vorjahr um rund 22 Prozent gestiegen. Dabei stieg der Preis für Schokoladentafeln besonders stark um 30,7 Prozent an.","Mitten in der Vorweihnachtszeit, in der die Nachfrage nach Leckereien wie Schokolade boomt, verzeichnet das Statistische Bundesamt einen drastischen Anstieg der Schokoladenpreise. Die Preise sind im Oktober im Vergleich zum vergangenen Jahr um insgesamt 21,8 Prozent gestiegen.

Insbesondere Schokoladentafeln sind von dem Preisanstieg betroffen. Diese sind um ganze 30,7 Prozent teurer als noch im Oktober 2022. Die Preise für Riegel und andere Schokoladenwaren sind um 16 Prozent gestiegen. Auch Süßwaren allgemein haben sich um rund fünf Prozent verteuert. Dabei kletterten die Preise insbesondere für Pralinen um 22,1 Prozent.

Werbung

Dem Statistischen Bundesamt nach sei ein Grund für die Preissteigerung die Erhöhung der Preise der Zutaten. So seien die Preise für Zucker und Kakao angehoben worden. Gleichzeitig vermerkt das Statistische Bundesamt zwar einen starken Anstieg der Zuckerpreise im Jahr 2024 auf den allerdings eine Senkung der Zuckerpreise im Herbst dieses Jahres um 40 Prozent im Vergleich zum Vorjahresmonat folgte. Auch die Importpreise für Kakao seien nach einem drastischen Anstieg im Vorjahr zuletzt wieder leicht gesunken.

Erst vor wenigen Wochen hatten zudem Schokoladenhersteller eine Preissteigerung auch für das kommende Jahr prognostiziert. Demnach könnten die Preise der Lebensmittel Zeitung zufolge um 20 Prozent steigen. Der Industrie zufolge sei die Ursache dafür nicht nur die gestiegenen Kosten für Kakao, sondern auch die Preissteigerung für Verpackungen. Zudem werden die steigenden Lohn- und vor allem Energiekosten in diesem Kontext genannt.

Werbung

Die Händler sehen das anders, immerhin seien Milch- und Zuckerpreise gesunken, so der Tenor der Lebensmittel Zeitung zufolge. Diese zitiert außerdem einen betroffenen Händler, der beklagt: „Für höhere Preise gibt es keinen Spielraum“ (Apollo News berichtete).

sf

Teilen:   
Zu den Kommentaren (29) 

 Einmalig
 Monatlich
Apollo News unterstützen
Zahlungsoptionen:
 Pay
 Pay
10 € 
15 € 
25 € 
50 € 
100 € 
 Weiter zum Zahlen
 Bank-Überweisung","https://apollo-news.net/im-vergleich-zum-vorjahresmonat-preise-fr-schokolade-sind-um-22-prozent-gestiegen/"
2025-11-26,"„Demokratiefeinde“: Landtag in Niedersachsen prüft Petition zu AfD-Verbotsverfahren","Im Niedersächsischen Landtag wird aktuell eine Petition diskutiert, die fordert, die Landesregierung solle sich bundesweit für ein Verbotsverfahren gegen die AfD einsetzen. Über 10.000 Menschen unterzeichneten die Petition.","Der Niedersächsische Landtag befasst sich derzeit mit einer Petition, die ein Verbotsverfahren gegen die AfD fordert. Nachdem mehr als 10.000 Menschen diese Petition unterstützt hatten, konnten die Initiatoren des Bündnisses „Aufstehen gegen Rassismus“ im Petitionsausschuss ihr Anliegen vorbringen.

Das Anliegen besteht darin, dass die Abgeordneten des Landtags die Landesregierung dazu bewegen sollen, sich auf Bundesebene für die Einleitung eines Verbotsverfahrens gegen die AfD einzusetzen. Nur die Bundesregierung, der Bundestag oder der Bundesrat können ein solches Verfahren offiziell beantragen.

Werbung

Ein Vertreter des niedersächsischen Innenministeriums berichtete über die aktuelle Einstufung der AfD in Niedersachsen durch den Verfassungsschutz. Seit 2022 gilt der Landesverband als Verdachtsobjekt, und dieser Status wurde 2024 einmalig um zwei Jahre verlängert. Der Verfassungsschutz muss bis zum 6. Mai 2026 entscheiden, ob die AfD Niedersachsen als gesichert rechtsextrem eingestuft wird oder die Beobachtung eingestellt wird.

Die AfD weist die Vorwürfe, die Partei gefährde die Verfassung, entschieden zurück. Stephan Bothe, AfD-Abgeordneter, erklärte, es gebe keine Argumente für eine Hochstufung und man sehe der Entscheidung des Verfassungsschutzes entspannt entgegen. Die AfD gehe davon aus, dass die Beobachtung im nächsten Jahr eingestellt wird.

Werbung

Die Grünen im Niedersächsischen Landtag setzen sich hingegen mit Nachdruck dafür ein, dass die Petition aufgegriffen und ein Verbotsverfahren gegen die AfD eingeleitet wird. Die Landeschefin Greta Garlichs erklärte, es sei höchste Zeit, „den Demokratiefeinden in der AfD“ vehement entgegenzutreten. Die Grünen sehen in dem Verfahren einen wichtigen Schritt, um die freiheitliche demokratische Grundordnung zu schützen und eine Partei, die diese angreife, zu stoppen.

LESEN SIE AUCH:

AfD-Positionierung
Nachdem Verband der Familienunternehmer Brandmauer für gescheitert erklärte: Rossmann und Vorwerk kündigen Mitgliedschaft

Redaktion • 135 

Afghanen-Programm
Grüne sehen in Afghanen-Geldangebot von Dobrindt „Zweckentfremdung“ staatlicher Gelder

Redaktion • 65 

Die SPD-Fraktion steht dem Thema etwas zurückhaltender gegenüber und weist darauf hin, dass Parteiverbote nur als letztes Mittel in Frage kommen sollten. Ausschließen wollte ein solches abger weder die SPD noch die CDU. CDU-Abgeordnete Veronika Bode erklärte, dass ein Verbotsverfahren erst dann eingeleitet werden dürfe, wenn ausreichende und gesicherte Beweise vorliegen, die Aussicht auf Erfolg bieten. Statt eines Verbots schlägt sie vor, dass die Innenministerkonferenz prüft, ob der AfD die Parteienfinanzierung entzogen werden kann.

Bisher hat der Petitionsausschuss noch keine Entscheidung getroffen. 

Teilen:   
Zu den Kommentaren (79) 

 Einmalig
 Monatlich
Apollo News unterstützen
Zahlungsoptionen:
 Pay
 Pay
10 € 
15 € 
25 € 
50 € 
100 € 
 Weiter zum Zahlen
 Bank-Überweisung","https://apollo-news.net/demokratiefeinde-landtag-in-niedersachsen-prueft-petition-zu-afd-verbotsverfahren/"
2025-11-26,"Nachdem Verband der Familienunternehmer Brandmauer für gescheitert erklärte: Rossmann und Vorwerk kündigen Mitgliedschaft","Nachdem der Verband der Familienunternehmen der Brandmauer eine Absage erteilt hat, verkündeten Rossmann und Vorwerk jetzt ihren Austritt aus dem Verband. Weitere Verbandsmitglieder erwägen einen Austritt.","Nachdem der Verband der Familienunternehmen die Brandmauer für gescheitert erklärt hat, kündigten nun die Unternehmen Rossmann und Vorwerk am Dienstag Ihren Austritt aus dem Verband an. Wie mehrere Medien darunter das Handelsblatt berichteten, erwägen weitere Verbandsmitglieder ebenfalls ihren Austritt.

„Wir unterstützen die Haltung des Verbands Die Familienunternehmer nicht und haben die Mitgliedschaft gekündigt“, erklärt ein Sprecherin der Drogeriemarktkette Rossmann. „Für uns gilt unverändert: Die Positionierung von Unternehmen muss jederzeit klar auf demokratischen Grundwerten basieren“, begründet auch der Haushaltsprodukte-Hersteller, Vorwerk, den Verbandsaustritt.

Werbung

Neben Rossmann und Vorwerk reagierte auch die Deutsche Bank drastisch und kündigte dem Verband den Mietvertrag für des Verbandes für den Parlamentarischen Abend im kommenden Jahr. Die Reaktion der Unternehmen wurde zudem von dem stellvertretenden Fraktionsvorsitzende der Grünen, Andreas Audretsch, am Mittwoch im Bundestag gelobt: Genau das ist die richtige Reaktion auf derartige geschichtsvergessene Ausfälle“. (Apollo News berichtete).

In der vergangenen Woche hatte der Familienverband die Brandmauer für gescheitert erklärt. „Diese Brandmauer zur AfD – auch auf Bundesebene, die von den meisten Verbänden bislang aufrechterhalten wurde – hat nichts gebracht“, stellte der Hauptgeschäftsführer Albrecht von der Hagen damals gegenüber The Pioneer klar (Mehr dazu hier). 

Werbung

Dem Verband gehören rund 6.500 familiengeführte Unternehmen aus ganz Deutschland an – darunter auch Konzerne wie BMW oder Oetker. Mitglied kann werden, wer mindestens zehn Mitarbeiter beschäftigt und einen Mindestjahresumsatz von einer Million Euro hat. 

LESEN SIE AUCH:

Hannover
„Demokratiefeinde“: Landtag in Niedersachsen prüft Petition zu AfD-Verbotsverfahren

Jonas Aston • 78 

Afghanen-Programm
Grüne sehen in Afghanen-Geldangebot von Dobrindt „Zweckentfremdung“ staatlicher Gelder

Redaktion • 65 

sf

Teilen:   
Zu den Kommentaren (135) 

 Einmalig
 Monatlich
Apollo News unterstützen
Zahlungsoptionen:
 Pay
 Pay
10 € 
15 € 
25 € 
50 € 
100 € 
 Weiter zum Zahlen
 Bank-Überweisung","https://apollo-news.net/nachdem-verband-der-familienunternehmer-brandmauer-fuer-gescheitert-erklaerte-rossmann-und-vorwerk-kuendigen-mitgliedschaft/"
2025-11-26,"Sachsen erkennt erstmals drei Todesfälle infolge der Corona-Impfung an","Sachsen hat erstmals drei Todesfälle im Zusammenhang mit der Corona-Impfung anerkannt. Die Hinterbliebenen, darunter die Frau und zwei Kinder eines 44-jährigen Verstorbenen, sollen für die Todesfälle entschädigt werden.","In Sachsen wurden nun erstmals drei Todesfälle nach Corona-Impfungen anerkannt. Das berichtete zuvor die Sächsische Zeitung. Konkret verloren drei Männer im Alter von 44, 63 und 66 Jahren nach einer Impfung gegen das Coronavirus das Leben. Die Hinterbliebenen der Verstorbenen sollen nun eine Entschädigung erhalten.

Der jüngste Mann hinterlässt dabei zwei Kinder und eine Frau. In den anderen Todesfällen sollen die Witwen eine Entschädigung für den Tod ihrer Männer erhalten. „Jeder Einzelfall, in dem eine Schutzimpfung eine gesundheitliche Störung oder gar eine Todesfolge verursacht, ist zutiefst zu bedauern“, so zitiert die Zeitung eine Stellungnahme des Sächsische Sozialministeriums in Bezug auf die Todesfälle.

Werbung

Den Angaben der Zeitung nach sei der Kommunale Sozialverband (KSV) in Sachsen für die Anerkennung der Impfschäden zuständig. Dieser habe ermittelt, dass in den genannten Todesfällen die Anzeichen für die Impfung als Todesursache überwiegen. Bei allen drei Fällen handelt es sich dabei um unterschiedliche Corona-Impfstoffe. So seien die Männer jeweils an Impfstoffen von AstraZeneca, BioNTech-Pfizer und von Moderna gestorben.

Zuletzt kamen im September dieses Jahres Protokolle an die Öffentlichkeit, die belegten, dass italienische Experten bereits im Frühjahr 2021 vor den tödlichen Nachwirkungen des Corona-Impfstoffs von AstraZeneca warnten. „Wenn es sichere Alternativen gibt, ist es nicht sinnvoll, auch nur einen Toten für AstraZeneca zu riskieren“, forderte damals Virologe Sergio Abrignani.

Werbung

Dennoch hielten die zuständigen Behörden an der landesweiten Impfkampagne fest. Laut Berliner Zeitung soll das Gesundheitsministerium in dem Zusammenhang erheblichen Druck ausgeübt haben, damit die Impfungen trotz vorliegender Warnungen weitergeführt werden (Apollo News berichtete).

Teilen:   
Zu den Kommentaren (52) 

 Einmalig
 Monatlich
Apollo News unterstützen
Zahlungsoptionen:
 Pay
 Pay
10 € 
15 € 
25 € 
50 € 
100 € 
 Weiter zum Zahlen
 Bank-Überweisung","https://apollo-news.net/sachsen-erkennt-erstmals-drei-todesflle-infolge-der-corona-impfung-an/"
2025-11-26,"Grüne sehen in Afghanen-Geldangebot von Dobrindt „Zweckentfremdung“ staatlicher Gelder","Die Grünen werfen Innenminister Alexander Dobrindt vor, Afghanen mit einem fragwürdigen Entschädigungsangebot zum Verzicht auf ihre Aufnahmezusage bewegt zu haben. Sie fordern Aufklärung, da sie eine zweckwidrige Nutzung humanitärer Mittel befürchten.","Die Bundestagsfraktion der Grünen greift Bundesinnenminister Dobrindt wegen des Angebots an Afghanen, gegen eine Geldzahlung auf ihre Aufnahmezusage für Deutschland verzichten zu können, an. Nach Einschätzung der Grünen könnten dabei staatliche Gelder unzulässig genutzt worden sein.

Der innenpolitische Sprecher der Fraktion, Marcel Emmerich, erklärte am Dienstag in Berlin, es spreche vieles dafür, dass Mittel aus dem Bereich der humanitären Aufnahme zweckwidrig eingesetzt worden seien. Demnach soll das Geld aus dem Budget für Resettlement-Programme stammen. Emmerich kritisierte, damit würden „Gelder, die der humanitären Aufnahme dienen sollen“, eingesetzt, „um Einreisen zu verhindern“. Dies sei rechtswidrig.

Werbung

Die Grünen fordern umfassende Aufklärung über die Hintergründe des Angebots sowie über den weiteren Ablauf der Aufnahmeverfahren. Da die Fraktion nur noch wenig Zeit für eine Realisierung der zugesagten Schutzprogramme sieht, wurde das Thema für die Sitzung des Innenausschusses am Mittwoch angemeldet. Dort soll Dobrindt persönlich Stellung nehmen.

Aktuell warten rund 1900 Afghaninnen und Afghanen in Pakistan darauf, dass Deutschland frühere Aufnahmeversprechen erfüllt. Viele von ihnen hatten für die Bundeswehr gearbeitet oder sich für demokratische Strukturen eingesetzt und müssen nach der Machtübernahme der Taliban Repressalien befürchten. In Pakistan droht ihnen ab dem kommenden Jahr zudem eine mögliche Abschiebung.

Werbung

Anfang November hatte das Innenministerium Betroffenen angesichts der knappen verbleibenden Zeit angeboten, gegen eine finanzielle Entschädigung freiwillig auf das Verfahren zu verzichten. Insgesamt sollen lediglich 62 Personen ein Geldangebot für den Verzicht auf die Einreise angenommen haben.

LESEN SIE AUCH:

Wehrdienst-Debatte
„Kein Grund, auf die Hälfte der Bevölkerung zu verzichten“ – Strack-Zimmermann will Frauen in die Musterung einbeziehen

Rudolf Schreiner • 135 

Wehrdienst-Debatte
Grünen-Chefin Brantner fordert Register für freiwillige Beteiligung Älterer beim Wehrdienst

Selma Fatogun • 223 

Deutschland plant, in den nächsten Wochen weitere Afghanen aufzunehmen, die eine verbindliche Zusage zur Aufnahme erhalten haben. Bundesinnenminister Dobrindt erklärte in der nicht öffentlichen Sitzung des Innenausschusses, dass diese Aufnahmen möglicherweise sogar verstärkt stattfinden könnten. Voraussetzung für die Einreise ist eine gültige Aufnahmezusage sowie das Bestehen einer positiven Sicherheitsüberprüfung.

Personen ohne diese Zusagen müssen hingegen damit rechnen, nicht nach Deutschland einreisen zu dürfen. Nach Angaben des Bundesinnenministeriums liegt das Ziel darin, bis zum Jahresende den Großteil der Afghanen, die sich derzeit in Pakistan aufhalten und rechtsverbindliche Aufnahmezusagen besitzen, die Einreise zu ermöglichen. Etwa 2000 Afghanen mit einer entsprechenden Aufnahmezusage befinden sich aktuell noch im Ausland.

ha

Teilen:   
Zu den Kommentaren (65) 

 Einmalig
 Monatlich
Apollo News unterstützen
Zahlungsoptionen:
 Pay
 Pay
10 € 
15 € 
25 € 
50 € 
100 € 
 Weiter zum Zahlen
 Bank-Überweisung","https://apollo-news.net/grne-sehen-in-afghanen-geldangebot-von-dobrindt-zweckentfremdung-staatlicher-gelder/"
2025-11-26,"Im Bundestag: Der Kanzler blamiert sich auf ganzer Linie – Apollo Newsroom","In der Generaldebatte im Bundestag beweist Friedrich Merz: Von der eigenen Partei, von den eigenen Ansprüchen hat er sich entfernt – er folgt nur noch der SPD, um sein Amt zu retten. Dabei redet er sich immer wieder mit der Außenpolitik heraus – aber auch dort ist Merz nur ein kleines Licht.","Teilen:   
Zu den Kommentaren (33) 

 Einmalig
 Monatlich
Apollo News unterstützen
Zahlungsoptionen:
 Pay
 Pay
10 € 
15 € 
25 € 
50 € 
100 € 
 Weiter zum Zahlen
 Bank-Überweisung","https://apollo-news.net/im-bundestag-der-kanzler-blamiert-sich-auf-ganzer-linie-apollo-newsroom/"
2025-11-26,"Trotz anhaltender Wirtschaftskrise: Deutschland bleibt mit Abstand größter EU-Nettozahler","Deutschland bleibt mit rund 13,1 Milliarden Euro im Jahr 2024 trotz Wirtschaftskrise der mit Abstand größte Nettozahler der EU. Auch pro Kopf zahlt Deutschland mehr ein als jedes andere Land.","Trotz Wirtschaftskrise bleibt Deutschland im Jahr 2024 mit 13,1 Milliarden größter Nettozahler innerhalb der Europäischen Union. Zwar zahlte Deutschland im Vergleich zu den Vorjahren weniger ein, steuert jedoch nach wie vor die mit Abstand größten Beiträge in die Haushaltskasse der EU bei. 2023 lag die Nettozahlung bei etwa 17,4 Milliarden Euro, während es 2022 noch 19,7 Milliarden Euro waren. Die Einzahlungen von 2024 sind etwa im Bereich der Jahre 2014 bis 2020 mit durchschnittlich 13,5 Milliarden wieder anzusiedeln.

Frankreich belegt den zweiten Rang als Nettozahler mit einem Überschuss von 4,8 Milliarden Euro im Jahr 2023 (Vorjahr: 8,96 Milliarden Euro), gefolgt von Italien auf Platz drei mit einem Nettobeitrag von 1,6 Milliarden Euro. Die größten Nettoempfänger sind Griechenland mit 3,5 Milliarden Euro, Polen mit 2,9 Milliarden Euro und Rumänien mit 2,7 Milliarden Euro, wobei Polen 2023 mit rund 8,1 Milliarden Euro den Spitzenplatz unter den Empfängern innehatte.

Werbung

Der EU-Haushalt spiegelt die wirtschaftlichen Machtverhältnisse in Europa wider, so IW-Expertin Samina Sultan gegenüber der Welt. Sie erklärte: „Wachstumsstarke Länder wie Polen erhalten zuletzt weniger Unterstützung. Deutschland und Frankreich sind die Sorgenkinder der EU. Ihre Wirtschaftskrise zeigt sich auch an den kleiner werdenden Beiträgen zum EU-Haushalt.“ Aufgrund der anhaltenden wirtschaftlichen Schwäche könnte Deutschland 2025 erneut weniger netto einzahlen. Sultan hierzu: „Da Deutschland auch dieses Jahr, nach aktuellen Prognosen, im Vergleich zu anderen europäischen Ländern unterdurchschnittlich wächst, dürfte der deutsche Nettobeitrag weiter sinken.“

Die EU-Kommission erwartet für Deutschland nach zwei Rezessionsjahren eine Stagnation, während Frankreich um 0,7 Prozent und Spanien um 2,9 Prozent wachsen sollen, bei einem EU-Durchschnitt von 1,4 Prozent. „Der EU-Haushalt ist ein Spiegel der wirtschaftlichen Machtverhältnisse in Europa“, sagte IW-Expertin Samina Sultan. Wachstumsstarke Länder wie Polen erhielten zuletzt weniger Unterstützung. „Deutschland und Frankreich sind die Sorgenkinder der EU“, fügte Sultan hinzu. „Ihre Wirtschaftskrise zeigt sich auch an den kleiner werdenden Beiträgen zum EU-Haushalt.“

Werbung

Im vergangenen Jahr zahlte jeder Bürger in Deutschland netto damit rund 157 Euro an die EU, womit Deutschland erneut den Spitzenplatz einnimmt, gefolgt von Irland mit 130 Euro. Das Institut der deutschen Wirtschaft kritisiert zudem, dass die EU-Kommission ihre Statistik zu Nettozahlungen aus politischen Gründen nicht mehr veröffentlicht. Aus Transparenzgründen sei dies aber sehr wohl erforderlich. Pro Kopf erhalten Luxemburg (560 Euro), Lettland, Litauen und Estland die höchsten Beträge. Im Falle von Luxemburg sei dies aber auf Sondereffekte wegen des Europäischen Weltraumprogramms zurückzuführen.

Teilen:   
Zu den Kommentaren (58) 

 Einmalig
 Monatlich
Apollo News unterstützen
Zahlungsoptionen:
 Pay
 Pay
10 € 
15 € 
25 € 
50 € 
100 € 
 Weiter zum Zahlen
 Bank-Überweisung","https://apollo-news.net/trotz-anhaltender-wirtschaftskrise-deutschland-bleibt-mit-abstand-grter-eu-nettozahler/"
2025-11-26,"„Entweder die Brandmauer fällt, oder es trifft Merz“ – Werner J. Patzelt im Interview","Friedrich Merz ist ein Bundeskanzler ohne Mehrheit – und steht jetzt vor einem Abgrund. Im Apollo News-Interview analysiert der Politikwissenschaftler Werner J. Patzelt den Koalitionskrach. Er betont: Die AfD hat verstanden, dass sie mit der CDU zusammenarbeiten muss – jetzt muss Merz die Brandmauer beenden, sonst trifft es ihn.","Teilen:   
Zu den Kommentaren (41) 

 Einmalig
 Monatlich
Apollo News unterstützen
Zahlungsoptionen:
 Pay
 Pay
10 € 
15 € 
25 € 
50 € 
100 € 
 Weiter zum Zahlen
 Bank-Überweisung","https://apollo-news.net/entweder-die-brandmauer-faellt-oder-es-trifft-merz-werner-j-patzelt-im-interview/"
2025-11-26,"DAX-Konzerne unter Druck: Stellenabbau kostet Wirtschaft Milliardenbeträge","Die schwache Konjunktur, verbunden mit den ungünstigen Rahmenbedingungen des deutschen Wirtschaftsstandorts, zwingt heimische Unternehmen zu harten Sparmaßnahmen. Besonders bei den DAX-Konzernen schlagen diese Maßnahmen jedoch mit enormen Summen zu Buche – die Kosten liegen im zweistelligen Milliardenbereich.","Es sind erschreckende Ergebnisse: Statt schnelle Abhilfe zu schaffen, reißen die Sparmaßnahmen deutschen Unternehmen große Löcher in die Bilanzen. Eine aktuelle Analyse des Handelsblatts legt offen, dass die DAX-Konzerne allein in den ersten drei Quartalen dieses Jahres rund sechs Milliarden Euro für Restrukturierungen aufgewendet haben.

Das Geld floss primär in den Personalabbau, etwa in Abfindungen oder Vorruhestandsregelungen. Besonders bedrückend: Der Trend hat sich seit Anfang des vergangenen Jahres massiv verstärkt. Seitdem summieren sich die Restrukturierungskosten der Unternehmen auf über 16 Milliarden Euro.

Werbung

Wie die Berechnungen des Handelsblatt Research Institute (HRI) und Bloomberg zeigen, fielen die höchsten Restrukturierungskosten in diesem Jahr bislang bei Mercedes an (1,4 Milliarden Euro), gefolgt von Volkswagen mit 900 Millionen Euro. Bei Siemens und der Commerzbank lagen die Kosten jeweils bei rund 550 Millionen Euro. Bayer und Daimler Truck wendeten knapp unter 400 Millionen Euro für Umstrukturierungen auf.

Diese hohen Kosten wirken sich stark negativ auf die Geschäftszahlen aus und verstärken die Gewinn- und Umsatzeinbrüche, unter denen die Konzerne – bedingt durch hohe Betriebskosten, Auftragsmangel und die in Deutschland vorherrschende Konjunkturflaute – ohnehin schon leiden.

Werbung

Aktuelle Daten geben Aufschluss: So hatte Mercedes-Benz etwa, in den ersten neun Monaten des laufenden Jahres, einen Gewinneinbruch von rund 50,3 Prozent im Vergleich zum Vorjahreszeitraum hinnehmen müssen – von 7,80 Milliarden Euro auf 3,87 Milliarden Euro. Bei Volkswagen sieht es nicht besser aus. Europas größter Autobauer verzeichnete im ersten Halbjahr 2025 einen Rückgang des Gewinns um 33 Prozent gegenüber dem Vorjahr. 

LESEN SIE AUCH:

Auch pro Kopf
Trotz anhaltender Wirtschaftskrise: Deutschland bleibt mit Abstand größter EU-Nettozahler

Jonas Aston • 52 

Kommentar
Mit dieser Rede räumt Merz ein, dass er an seinen eigenen Ansprüchen gescheitert ist

Max Roland • 94 

Bei den Autobauern wirken sich zusätzlich die Folgen der aktuellen Branchenkrise negativ auf die Zahlen aus. Hintergrund sind insbesondere die Absatzeinbrüche bei Elektroautos, die deutsche Hersteller – darunter neben Mercedes und VW auch BMW, Porsche und Audi – verkraften müssen. Die internationale Konkurrenz aus China bietet Elektrofahrzeuge zu einem deutlich attraktiveren Preis-Leistungs-Verhältnis an und gewinnt dadurch weltweit Marktanteile. Die deutschen Autobauer, die aufgrund der EU-Klimavorgaben jedoch gezwungen sind, Elektrofahrzeuge abzusetzen und nur noch eingeschränkt auf den Verbrenner-Verkauf setzen dürfen, geraten dadurch zunehmend unter Druck.

Besonders stark unter dieser Problematik leiden auch die deutschen Zulieferbetriebe. Die Absatzkrise bei den deutschen Autobauern führt nämlich dazu, dass die Zulieferer weniger Aufträge erhalten. Da sie sehr stark vom Geschäft der Hersteller abhängig sind, geraten sie dadurch selbst in die roten Zahlen.

Werbung

Vor diesem Hintergrund steht die Zuliefererindustrie unter immensem Druck. Dies wird auch mit Blick auf die hohe Zahl der Firmenpleiten deutlich. Die Automobilzulieferindustrie war laut dem Kreditversicherer Atradius im ersten Halbjahr 2025 die Wirtschaftsbranche mit den meisten Großinsolvenzen: 18 im ersten Quartal und 11 im zweiten Quartal. Als Großinsolvenzen stuft der Kreditversicherer Unternehmen mit einem Jahresumsatz von mehr als zehn Millionen Euro ein. 

Doch nicht nur große Zulieferer gehen an der Automobilkrise zugrunde. Auch kleine und mittlere Unternehmen (KMU) sind betroffen. Erst Anfang der Woche war mit der Roku Mechanik GmbH ein mittelständischer Zulieferer in die Insolvenz geraten.

Teilen:   
Zu den Kommentaren (17) 

 Einmalig
 Monatlich
Apollo News unterstützen
Zahlungsoptionen:
 Pay
 Pay
10 € 
15 € 
25 € 
50 € 
100 € 
 Weiter zum Zahlen
 Bank-Überweisung","https://apollo-news.net/dax-konzerne-unter-druck-stellenabbau-kostet-wirtschaft-milliardenbetrge/"
2025-11-26,"Mit dieser Rede räumt Merz ein, dass er an seinen eigenen Ansprüchen gescheitert ist","Friedrich Merz fordert die Bürger zur Geduld auf: Reformen könne man nicht übers Knie brechen. Doch genau das hatte er den Bürgern im Wahlkampf und auch noch als Kanzler vermittelt.","Es war wohl niemand so überzeugt von der Wunderheilkraft der Merz-Regierung wie Friedrich Merz selbst. „Schon im Sommer“, versprach der Bundeskanzler in seiner ersten Regierungserklärung, würden die Menschen einen Stimmungsumschwung spüren, es werde wieder aufwärtsgehen mit Stimmung und Wirtschaft.

Ende November hat sich dieser Optimismus in Luft aufgelöst: Bei der letzten Regierungserklärung des Jahres spricht ein Merz, der ob der politischen Realitäten etwas demütiger geworden ist. Er klingt ganz anders. Merz will „eine erste Zwischenbilanz“ ziehen – und lobt seine Regierung für viele „erste, richtige“ Schritte. Er nennt Abschreibungsmöglichkeiten, Senkung der Körperschaftsteuer, lobt die Pläne für einen Industriestrompreis und die Senkung der Stromsteuer für Unternehmen. Von Wirtschaftswende und Stimmungsumschwung aber ist keine Rede mehr – im Gegenteil.

Werbung

Merz hatte den Bürgern versprochen, bald Reformen schon „spüren“ zu können. Jetzt muss er ihnen zurufen: Bitte geduldet euch noch.

Im Mai habe er eine schrumpfende Wirtschaft, ein blockiertes Land „vorgefunden“, führt der Kanzler aus – und habe mit einem Steuerpaket reagiert. „Wir haben den ersten, richtigen Schritt hingemacht zu einem wettbewerbsfähigen Steuerniveau.“ Aber den großen Sprung – den hat er nicht geschafft. Dabei hatte er ihn vollmundig angekündigt.

Werbung

Daran schuld ist aber nicht Merz und die Regierung – sondern die Bürger. Diese, so vermittelt der Kanzler, könnten mit dem Reformtempo, das er eigentlich wolle, nicht mithalten. „Wir müssen die Menschen mitnehmen auf dem Weg zur Lösung der großen Herausforderungen, vor denen wir stehen. Schritt für Schritt, Reform für Reform“, so der Bundeskanzler. „Wir werden diese Schritte gehen, obwohl unsere Maßnahmen – und anders kann es gar nicht sein – nur mit Zeitverzug wirken. Obwohl wir mittendrin und nicht am Ende unserer Agenda sind.“

LESEN SIE AUCH:

hohe Rohstoffkosten
Im Vergleich zum Vorjahresmonat: Preise für Schokolade sind um 22 Prozent gestiegen

Redaktion • 19 

Auch pro Kopf
Trotz anhaltender Wirtschaftskrise: Deutschland bleibt mit Abstand größter EU-Nettozahler

Jonas Aston • 54 

Das – also der Hinweis, dass große Reformen nicht von heute auf morgen ein Land umkrempeln – ist natürlich in der Sache richtig. Merz‘ Problem ist dabei bloß: Er hatte andere Erwartungen geweckt. Offenbar hat der Kanzler in seinem halben Jahr an der Macht erst gelernt, wie Politik funktioniert. Vor allem: sehr langsam.

„Es sind die Reformerwartungen zum Teil größer, als wir sie im Augenblick erfüllen. Ja, das stimmt. Und ich höre immer wieder, diese Regierung müsse sich doch nur irgendwo mal einen Ruck geben, zwei, drei große Vorhaben und schon wären die Probleme verflogen in unserem Land. Nein, meine Damen und Herren“, sagt Merz.

Werbung

„Unser Land – und das ist eine ehrliche Antwort – unser Land ist ein hochkomplexes Land und komplexe Sachverhalte erfordern komplexe Antworten“, führt der Kanzler weiter aus. Das Problem, das er hat: Diese Erwartungen hat er selbst geweckt.

„Zwei, drei große Vorhaben und schon wären die Probleme verflogen in unserem Land“ – das war ziemlich genau die Erwartung, die Merz als Oppositionsführer und im Wahlkampf geweckt hatte. Und auch noch als Kanzler selbst dachte Merz offenbar, allein durch seine Anwesenheit im Amt werde alles besser. Falsch gedacht.

Jetzt zerbricht sein Reform-Narrativ an der Realität. Und Merz muss den Erwartungen hinterherrennen, die er an sich selbst aufgebaut hat. Der Bundeskanzler scheitert an seinen eigenen Ansprüchen.

Teilen:   
Zu den Kommentaren (104) 

 Einmalig
 Monatlich
Apollo News unterstützen
Zahlungsoptionen:
 Pay
 Pay
10 € 
15 € 
25 € 
50 € 
100 € 
 Weiter zum Zahlen
 Bank-Überweisung","https://apollo-news.net/mit-dieser-rede-rumt-merz-ein-dass-er-an-seinen-eigenen-ansprchen-gescheitert-ist/"
