Date,Title,Summary,Text,Comments,URL,Full_Text
2025-11-21,Tacheles #180 ist online,"Trotz all des Stresses, den ich in diesem Monat habe, konnten wir dafür sorgen, dass auch dieser Freitag wieder ""Tacheles-Tag"" ist.","Tacheles
Tacheles #180 ist online
Trotz all des Stresses, den ich in diesem Monat habe, konnten wir dafür sorgen, dass auch dieser Freitag wieder ""Tacheles-Tag"" ist.
von Anti-Spiegel
21. November 2025 21:37 Uhr
Die aktuelle Tacheles-Sendung hatte viele Themen, wobei der Kern natürlich der Korruptionsskandal in der Ukraine und Trumps neuer Friedensplan für die Ukraine war, über den am Donnerstag, als wir aufgezeichnet haben, nur erste Informationen bekannt waren. Dennoch, das ist leider Eigenlob, lag ich mit dem, was ich aus den wenigen Infos, die zum Zeitpunkt der Aufzeichnung vorlagen, hergeleitet habe, bisher richtig.
Spannend wurde es im zweiten Teil der Sendung, als Robert Stein klar wurde, wie eng all die – auf den ersten Blick – unterschiedlichen Themen der Sendung in Wahrheit miteinander zusammenhängen. Da ich aus Zeitgründen derzeit nicht so viel schreiben kann, wie ich angesichts der Ereignisdichte eigentlich müsste, empfehle ich diese Tacheles-Sendung sehr.
Sollte YouTube die Sendung löschen, können Sie sie auch hier bei NuoViso anschauen.
Tacheles # 180

Teile diesen Beitrag
teilen 
teilen 
teilen 
teilen 
teilen 
E-Mail 
teilen 
AUTOR: ANTI-SPIEGEL
Thomas Röper, geboren 1971, hat als Experte für Osteuropa in Finanzdienstleistungsunternehmen in Osteuropa und Russland Vorstands- und Aufsichtsratspositionen bekleidet. Heute lebt er in seiner Wahlheimat St. Petersburg. Er lebt über 15 Jahre in Russland und spricht fließend Russisch. Die Schwerpunkte seiner medienkritischen Arbeit sind das (mediale) Russlandbild in Deutschland, Kritik an der Berichterstattung westlicher Medien im Allgemeinen und die Themen (Geo-)Politik und Wirtschaft.
Zurück
Nächster Beitrag: Der stressige November, oder wenn ich nicht so viel schreiben kann, wie ich eigentlich will",,https://anti-spiegel.ru/2025/tacheles-180-ist-online/,"Tacheles #180 ist online Trotz all des Stresses, den ich in diesem Monat habe, konnten wir dafür sorgen, dass auch dieser Freitag wieder ""Tacheles-Tag"" ist. Tacheles
Tacheles #180 ist online
Trotz all des Stresses, den ich in diesem Monat habe, konnten wir dafür sorgen, dass auch dieser Freitag wieder ""Tacheles-Tag"" ist.
von Anti-Spiegel
21. November 2025 21:37 Uhr
Die aktuelle Tacheles-Sendung hatte viele Themen, wobei der Kern natürlich der Korruptionsskandal in der Ukraine und Trumps neuer Friedensplan für die Ukraine war, über den am Donnerstag, als wir aufgezeichnet haben, nur erste Informationen bekannt waren. Dennoch, das ist leider Eigenlob, lag ich mit dem, was ich aus den wenigen Infos, die zum Zeitpunkt der Aufzeichnung vorlagen, hergeleitet habe, bisher richtig.
Spannend wurde es im zweiten Teil der Sendung, als Robert Stein klar wurde, wie eng all die – auf den ersten Blick – unterschiedlichen Themen der Sendung in Wahrheit miteinander zusammenhängen. Da ich aus Zeitgründen derzeit nicht so viel schreiben kann, wie ich angesichts der Ereignisdichte eigentlich müsste, empfehle ich diese Tacheles-Sendung sehr.
Sollte YouTube die Sendung löschen, können Sie sie auch hier bei NuoViso anschauen.
Tacheles # 180

Teile diesen Beitrag
teilen 
teilen 
teilen 
teilen 
teilen 
E-Mail 
teilen 
AUTOR: ANTI-SPIEGEL
Thomas Röper, geboren 1971, hat als Experte für Osteuropa in Finanzdienstleistungsunternehmen in Osteuropa und Russland Vorstands- und Aufsichtsratspositionen bekleidet. Heute lebt er in seiner Wahlheimat St. Petersburg. Er lebt über 15 Jahre in Russland und spricht fließend Russisch. Die Schwerpunkte seiner medienkritischen Arbeit sind das (mediale) Russlandbild in Deutschland, Kritik an der Berichterstattung westlicher Medien im Allgemeinen und die Themen (Geo-)Politik und Wirtschaft.
Zurück
Nächster Beitrag: Der stressige November, oder wenn ich nicht so viel schreiben kann, wie ich eigentlich will"
2025-11-21,Die 28 Punkte von Trumps Ukraine-Plan im Wortlaut,Am Freitag wurde der Wortlaut von Trumps Friedensplan bekannt.,"Trumps Friedensplan
Die 28 Punkte von Trumps Ukraine-Plan im Wortlaut
Am Freitag wurde der Wortlaut von Trumps Friedensplan bekannt.
von Anti-Spiegel
21. November 2025 19:18 Uhr
Hier veröffentliche ich den Wortlaut von Trumps 28-Punkte-Plan für einen Frieden in der Ukraine. Eine genauere Analyse dessen, was das tatsächlich bedeutet, werde ich am Wochenende veröffentlichen.
Die Souveränität der Ukraine wird bestätigt.
Zwischen Russland, der Ukraine und Europa wird ein umfassendes Nichtangriffsabkommen geschlossen. Alle Konflikte der vergangenen 30 Jahre gelten als beendet.
Die Nato soll sich nicht weiter ausdehnen, und Russland soll sich verpflichten, die Nato nicht anzugreifen.
Zwischen Russland und der Nato soll es unter Vermittlung der USA wieder einen Dialog über Sicherheitsfragen und eine mögliche Zusammenarbeit geben.
Die Ukraine erhält verlässliche Sicherheitsgarantien.
Die Größe der ukrainischen Streitkräfte wird auf 600.000 Soldaten begrenzt.
Die Ukraine schreibt in ihrer Verfassung fest, dass sie der Nato nicht beitreten wird. Ebenso verankert die Nato in ihren Statuten, dass die Ukraine auch in Zukunft kein Mitglied wird.
Die Nato erklärt sich bereit, keine Soldaten in der Ukraine zu stationieren.
Europäische Kampfflugzeuge werden in Polen stationiert.
Für die Sicherheitsgarantien erhalten die USA eine Entschädigung. Wenn die Ukraine Russland angreift, verlieren diese ihre Gültigkeit. Sollte Russland die Ukraine angreifen, treten alle Sanktionen wieder in Kraft, Moskau verliert alle Vorrechte aus der Friedensregelung.
Die Ukraine darf der EU beitreten.
Es wird ein internationaler Fonds für den Wiederaufbau zerstörter Städte und Gegenden und zur Entwicklung der ukrainischen Infrastruktur gegründet. Die USA helfen zudem beim Ausbau der ukrainischen Gasindustrie.
Russland wird wieder in die Weltwirtschaft integriert und eingeladen, den G7 (dann wieder G8) erneut beizutreten. Sanktionen werden schrittweise abgebaut.
100 Milliarden US-Dollar des beschlagnahmten russischen Staatsvermögens fließen in von den USA angeführte Bemühungen für Wiederaufbau und Investitionen in der Ukraine. Die USA erhalten 50 Prozent möglicher Gewinne. Die EU steuert 100 Milliarden US-Dollar zum Wiederaufbau bei und gibt beschlagnahmtes russisches Vermögen wieder frei. Das restliche russische Vermögen soll in gemeinsame Investitionen und Projekte mit den USA fließen, die als Anreiz dafür dienen, den Konflikt nicht aufs Neue anzufachen.
Eine amerikanisch-russische Arbeitsgruppe für Sicherheitsfragen soll die Einhaltung aller Bestimmungen dieses Abkommens sicherstellen.
Russland verankert seine Nichtangriffspolitik gegenüber Europa und der Ukraine in einem Gesetz.
Die USA und Russland nehmen ihre Gespräche über die Begrenzung und Reduzierung von strategischen Nuklearwaffen wieder auf.
Die Ukraine bleibt atomwaffenfrei.
Das Atomkraftwerk Saporoschje wird der Internationalen Atomenergiebehörde IAEA unterstellt, der dort produzierte Strom zu gleichen Teilen zwischen der Ukraine und Russland aufgeteilt.
Beide Länder verpflichten sich, Bildungsprogramme für gegenseitige Toleranz und Verständnis umzusetzen. Die Ukraine sichert die sprachlichen und religiösen Rechte von Minderheiten nach EU-Standards zu.
Gebiete: Die Halbinsel Krim sowie die Regionen Donezk und Luhansk im Osten der Ukraine werden de facto als russisch anerkannt. Die beiden teilweise von Russland kontrollierten Regionen Cherson und Saporoschje im Süden der Ukraine werden entsprechend der aktuellen Frontlinie aufgeteilt. Die Ukraine zieht sich aus den Teilen von Donezk zurück, die sie noch unter Kontrolle hat. Dort entsteht eine entmilitarisierte Pufferzone, und die Teile sollen als russisches Gebiet anerkannt werden.
Russland verzichtet auf weitere Gebietsansprüche. Territorialfragen dürfen nur friedlich gelöst werden, sonst sind alle Sicherheitsgarantien nichtig.
Es werden Abkommen über den freien Getreidetransport über das Schwarze Meer und den Dnipro getroffen.
Gefangene und Tote werden nach dem Prinzip »alle gegen alle« ausgetauscht. Zivilisten werden freigelassen, Familien zusammengeführt.
In der Ukraine finden 100 Tage nach Abschluss des Abkommens Wahlen statt.
Alle an diesem Konflikt beteiligten Parteien erhalten volle Amnestie.
Ein „Friedensrat“ unter Vorsitz von US-Präsident Donald Trump überwacht die Einhaltung des Abkommens. Bei Verstößen werden Sanktionen verhängt.
Sobald alle Parteien dem Plan zugestimmt haben und der militärische Rückzug abgeschlossen ist, beginnt der Waffenstillstand.

Teile diesen Beitrag
teilen 
teilen 
teilen 
teilen 
teilen 
E-Mail 
teilen 
AUTOR: ANTI-SPIEGEL
Thomas Röper, geboren 1971, hat als Experte für Osteuropa in Finanzdienstleistungsunternehmen in Osteuropa und Russland Vorstands- und Aufsichtsratspositionen bekleidet. Heute lebt er in seiner Wahlheimat St. Petersburg. Er lebt über 15 Jahre in Russland und spricht fließend Russisch. Die Schwerpunkte seiner medienkritischen Arbeit sind das (mediale) Russlandbild in Deutschland, Kritik an der Berichterstattung westlicher Medien im Allgemeinen und die Themen (Geo-)Politik und Wirtschaft.
Zurück
Nächster Beitrag: Acht EU-Länder haben sich auf die Schaffung einer Zone für schnelle Truppenverlegungen über Grenzen hinweg geeinigt",,https://anti-spiegel.ru/2025/die-28-punkte-von-trumps-ukraine-plan-im-wortlaut/,"Die 28 Punkte von Trumps Ukraine-Plan im Wortlaut Am Freitag wurde der Wortlaut von Trumps Friedensplan bekannt. Trumps Friedensplan
Die 28 Punkte von Trumps Ukraine-Plan im Wortlaut
Am Freitag wurde der Wortlaut von Trumps Friedensplan bekannt.
von Anti-Spiegel
21. November 2025 19:18 Uhr
Hier veröffentliche ich den Wortlaut von Trumps 28-Punkte-Plan für einen Frieden in der Ukraine. Eine genauere Analyse dessen, was das tatsächlich bedeutet, werde ich am Wochenende veröffentlichen.
Die Souveränität der Ukraine wird bestätigt.
Zwischen Russland, der Ukraine und Europa wird ein umfassendes Nichtangriffsabkommen geschlossen. Alle Konflikte der vergangenen 30 Jahre gelten als beendet.
Die Nato soll sich nicht weiter ausdehnen, und Russland soll sich verpflichten, die Nato nicht anzugreifen.
Zwischen Russland und der Nato soll es unter Vermittlung der USA wieder einen Dialog über Sicherheitsfragen und eine mögliche Zusammenarbeit geben.
Die Ukraine erhält verlässliche Sicherheitsgarantien.
Die Größe der ukrainischen Streitkräfte wird auf 600.000 Soldaten begrenzt.
Die Ukraine schreibt in ihrer Verfassung fest, dass sie der Nato nicht beitreten wird. Ebenso verankert die Nato in ihren Statuten, dass die Ukraine auch in Zukunft kein Mitglied wird.
Die Nato erklärt sich bereit, keine Soldaten in der Ukraine zu stationieren.
Europäische Kampfflugzeuge werden in Polen stationiert.
Für die Sicherheitsgarantien erhalten die USA eine Entschädigung. Wenn die Ukraine Russland angreift, verlieren diese ihre Gültigkeit. Sollte Russland die Ukraine angreifen, treten alle Sanktionen wieder in Kraft, Moskau verliert alle Vorrechte aus der Friedensregelung.
Die Ukraine darf der EU beitreten.
Es wird ein internationaler Fonds für den Wiederaufbau zerstörter Städte und Gegenden und zur Entwicklung der ukrainischen Infrastruktur gegründet. Die USA helfen zudem beim Ausbau der ukrainischen Gasindustrie.
Russland wird wieder in die Weltwirtschaft integriert und eingeladen, den G7 (dann wieder G8) erneut beizutreten. Sanktionen werden schrittweise abgebaut.
100 Milliarden US-Dollar des beschlagnahmten russischen Staatsvermögens fließen in von den USA angeführte Bemühungen für Wiederaufbau und Investitionen in der Ukraine. Die USA erhalten 50 Prozent möglicher Gewinne. Die EU steuert 100 Milliarden US-Dollar zum Wiederaufbau bei und gibt beschlagnahmtes russisches Vermögen wieder frei. Das restliche russische Vermögen soll in gemeinsame Investitionen und Projekte mit den USA fließen, die als Anreiz dafür dienen, den Konflikt nicht aufs Neue anzufachen.
Eine amerikanisch-russische Arbeitsgruppe für Sicherheitsfragen soll die Einhaltung aller Bestimmungen dieses Abkommens sicherstellen.
Russland verankert seine Nichtangriffspolitik gegenüber Europa und der Ukraine in einem Gesetz.
Die USA und Russland nehmen ihre Gespräche über die Begrenzung und Reduzierung von strategischen Nuklearwaffen wieder auf.
Die Ukraine bleibt atomwaffenfrei.
Das Atomkraftwerk Saporoschje wird der Internationalen Atomenergiebehörde IAEA unterstellt, der dort produzierte Strom zu gleichen Teilen zwischen der Ukraine und Russland aufgeteilt.
Beide Länder verpflichten sich, Bildungsprogramme für gegenseitige Toleranz und Verständnis umzusetzen. Die Ukraine sichert die sprachlichen und religiösen Rechte von Minderheiten nach EU-Standards zu.
Gebiete: Die Halbinsel Krim sowie die Regionen Donezk und Luhansk im Osten der Ukraine werden de facto als russisch anerkannt. Die beiden teilweise von Russland kontrollierten Regionen Cherson und Saporoschje im Süden der Ukraine werden entsprechend der aktuellen Frontlinie aufgeteilt. Die Ukraine zieht sich aus den Teilen von Donezk zurück, die sie noch unter Kontrolle hat. Dort entsteht eine entmilitarisierte Pufferzone, und die Teile sollen als russisches Gebiet anerkannt werden.
Russland verzichtet auf weitere Gebietsansprüche. Territorialfragen dürfen nur friedlich gelöst werden, sonst sind alle Sicherheitsgarantien nichtig.
Es werden Abkommen über den freien Getreidetransport über das Schwarze Meer und den Dnipro getroffen.
Gefangene und Tote werden nach dem Prinzip »alle gegen alle« ausgetauscht. Zivilisten werden freigelassen, Familien zusammengeführt.
In der Ukraine finden 100 Tage nach Abschluss des Abkommens Wahlen statt.
Alle an diesem Konflikt beteiligten Parteien erhalten volle Amnestie.
Ein „Friedensrat“ unter Vorsitz von US-Präsident Donald Trump überwacht die Einhaltung des Abkommens. Bei Verstößen werden Sanktionen verhängt.
Sobald alle Parteien dem Plan zugestimmt haben und der militärische Rückzug abgeschlossen ist, beginnt der Waffenstillstand.

Teile diesen Beitrag
teilen 
teilen 
teilen 
teilen 
teilen 
E-Mail 
teilen 
AUTOR: ANTI-SPIEGEL
Thomas Röper, geboren 1971, hat als Experte für Osteuropa in Finanzdienstleistungsunternehmen in Osteuropa und Russland Vorstands- und Aufsichtsratspositionen bekleidet. Heute lebt er in seiner Wahlheimat St. Petersburg. Er lebt über 15 Jahre in Russland und spricht fließend Russisch. Die Schwerpunkte seiner medienkritischen Arbeit sind das (mediale) Russlandbild in Deutschland, Kritik an der Berichterstattung westlicher Medien im Allgemeinen und die Themen (Geo-)Politik und Wirtschaft.
Zurück
Nächster Beitrag: Acht EU-Länder haben sich auf die Schaffung einer Zone für schnelle Truppenverlegungen über Grenzen hinweg geeinigt"
