Date,Title,Summary,Text,Comments,URL,Full_Text
2025-09-25,"Deutschland schlägt vor, der Ukraine einen Kredit in Höhe von 140 Milliarden Euro zu Lasten der russischen Vermögenswerte zu gewähren","Der deutsche Bundeskanzler erklärte außerdem, dass die Entscheidung über die Gewährung eines Kredits an die Ukraine zu Lasten russischer Vermögenswerte nicht einstimmig, sondern durch eine Mehrheitsentscheidung in der EU getroffen werden könne.","Friedrich Merz
Deutschland schlägt vor, der Ukraine einen Kredit in Höhe von 140 Milliarden Euro zu Lasten der russischen Vermögenswerte zu gewähren
Der deutsche Bundeskanzler erklärte außerdem, dass die Entscheidung über die Gewährung eines Kredits an die Ukraine zu Lasten russischer Vermögenswerte nicht einstimmig, sondern durch eine Mehrheitsentscheidung in der EU getroffen werden könne.
von Anti-Spiegel
25. September 2025 19:01 Uhr
Deutschland unterstützt die Gewährung eines zinslosen Kredits in Höhe von fast 140 Milliarden Euro an die Ukraine zu Lasten der in EU-Ländern eingefrorenen russischen Staatsvermögen, erklärte Bundeskanzler Friedrich Merz in einem Artikel in der britischen Zeitung Financial Times.
Merz erklärte in dem Artikel dass er diesen Vorschlag beim nächsten Treffen der EU-Staats- und Regierungschefs machen wolle. Es ist also kein bloßer Meinungsartikel, sondern das soll nach seiner Meinung in die Tat umgesetzt werden. Ich habe den Artikel, den Merz für die Financial Times geschrieben hat, übersetzt
Beginn der Übersetzung:
Krieg in der Ukraine – Ein neuer finanzieller Impetus für den Frieden in der Ukraine
Wir brauchen die Mobilisierung von Ressourcen in einem Ausmaß, das Kiews militärische Widerstandsfähigkeit sichert.
FRIEDRICH MERZ
Der Autor ist der deutsche Bundeskanzler
Wladimir Putin führt seinen brutalen Eroberungskrieg gegen die Ukraine mit unerbittlicher Härte fort. Jeder zerstörte Wohnblock in Odessa, jeder nächtliche Angriff auf ein Krankenhaus in Charkow oder ein Regierungsgebäude in Kiew widerlegt den Mythos von der Friedensbereitschaft Russlands. Europa muss daraus die notwendigen Konsequenzen ziehen, idealerweise gemeinsam mit seinen Partnern auf beiden Seiten des Atlantiks. Wir müssen die Kosten der russischen Aggression systematisch und massiv erhöhen.
Wir tun das nicht, um den Krieg zu verlängern, sondern um ihn zu beenden. Moskau wird sich erst dann an den Verhandlungstisch für einen Waffenstillstand begeben, wenn es erkennt, dass die Ukraine über mehr Durchhaltevermögen verfügt. Wir haben dieses Durchhaltevermögen. Europa steht heute mehr auf dem Prüfstand als je zuvor. Deutschland muss – und wird – einen besonderen Teil der Verantwortung übernehmen.
Wir brauchen einen neuen Impetus, um Russlands Kalkül zu ändern. Jetzt ist der Moment gekommen, einen wirksamen Hebel einzusetzen, der das zynische Spiel auf Zeit des russischen Präsidenten durchbricht und ihn an den Verhandlungstisch bringt. Das erfordert den Mut und das Selbstvertrauen, unsere eigene Agenda zu setzen, anstatt nur auf seine zu reagieren.
Indem wir das tun, würden wir dem tapferen ukrainischen Volk neue Hoffnung geben. Wir würden auch genau das richtige Signal an Washington senden: Der Weg zu einem gerechten und dauerhaften Frieden muss gemeinsam beschritten werden.
Wir werden die Ukraine bei ihrer Verteidigung unterstützen, solange es nötig ist. Das ist die Entscheidung der Europäer. Jetzt ist es an der Zeit, dieses politische Versprechen mit einem Instrument zu untermauern, das ein unmissverständliches Signal der Widerstandsfähigkeit an Moskau sendet. In den letzten Jahren haben wir oft auf Sicht gespielt. Jetzt plädiere ich für die Mobilisierung finanzieller Mittel in einem Umfang, der die militärische Widerstandsfähigkeit der Ukraine für mehrere Jahre sichert.
Deutschland war und bleibt in der Frage der Beschlagnahmung der in Europa eingefrorenen Vermögenswerte der russischen Zentralbank zurückhaltend – und das aus gutem Grund. Es sind nicht nur völkerrechtliche Fragen zu berücksichtigen, sondern auch grundsätzliche Fragen zur Rolle des Euro als globale Reservewährung. Das darf uns jedoch nicht zurückhalten: Wir müssen überlegen, wie wir diese Probleme umgehen und die Mittel für die Verteidigung der Ukraine bereitstellen können.
Meiner Ansicht nach sollte jetzt eine tragfähige Lösung entwickelt werden, mit der wir der Ukraine – ohne Eingriff in Eigentumsrechte – ein zinsloses Darlehen in Höhe von insgesamt fast 140 Milliarden Euro gewähren können. Dieses Darlehen würde erst zurückgezahlt, wenn Russland die Ukraine für die im Krieg verursachten Schäden entschädigt hat. Bis dahin bleiben die russischen Vermögenswerte, wie vom Europäischen Rat beschlossen, eingefroren.
Eine so umfangreiche Hilfe erfordert Haushaltsgarantien der Mitgliedstaaten. Diese bilateralen Garantien sollten, sobald der nächste mehrjährige Finanzrahmen 2028 in Kraft tritt, durch eine Besicherung im Rahmen des langfristigen EU-Haushalts ersetzt werden.
Die so mobilisierten Mittel würden die Verteidigungsfähigkeiten der Ukraine für mehrere Jahre sichern. Ich werde diesen Vorschlag bei unserem Treffen in Kopenhagen am kommenden Mittwoch mit den europäischen Staats- und Regierungschefs erörtern. Ich schlage vor, dass wir dem Europäischen Rat Ende Oktober das Mandat erteilen, dieses Instrument rechtssicher vorzubereiten.
Dieser Beschluss sollte idealerweise einstimmig erfolgen – wenn das scheitert, sollte er von der großen Mehrheit der Mitgliedstaaten angenommen werden, die sich entschieden für die Ukraine einsetzen. Wir sollten auch Partner weltweit, die russische Vermögenswerte eingefroren haben, einladen, sich dem Instrument anzuschließen. Zu diesem Zweck werden wir uns eng mit unseren Partnern in der G7 abstimmen.
Für Deutschland wird es wichtig sein, dass diese zusätzlichen Mittel ausschließlich zur Finanzierung von ukrainischem militärischem Gerät und nicht für allgemeine Haushaltszwecke verwendet werden. Die Zahlungen sollten in Tranchen erfolgen. Die Mitgliedstaaten und die Ukraine würden gemeinsam entscheiden, welches Material beschafft wird. Meiner Ansicht nach muss ein so umfassendes Programm auch dazu beitragen, die europäische Verteidigungsindustrie zu stärken und auszubauen. Dies würde sowohl unserer kollektiven Sicherheit als auch der europäischen Souveränität dienen.
In den letzten Tagen wurden wir daran erinnert, wie umfassend und systematisch Frieden und Freiheit in Europa bedroht sind. Als Europäer verfügen wir über mächtige Mittel, dieser Bedrohung zu begegnen. Es ist an der Zeit, sie einzusetzen, um unser sicheres, freies und vereintes Europa zu verteidigen.
Ende der Übersetzung

Teile diesen Beitrag
teilen 
teilen 
teilen 
teilen 
teilen 
E-Mail 
teilen 
AUTOR: ANTI-SPIEGEL
Thomas Röper, geboren 1971, hat als Experte für Osteuropa in Finanzdienstleistungsunternehmen in Osteuropa und Russland Vorstands- und Aufsichtsratspositionen bekleidet. Heute lebt er in seiner Wahlheimat St. Petersburg. Er lebt über 15 Jahre in Russland und spricht fließend Russisch. Die Schwerpunkte seiner medienkritischen Arbeit sind das (mediale) Russlandbild in Deutschland, Kritik an der Berichterstattung westlicher Medien im Allgemeinen und die Themen (Geo-)Politik und Wirtschaft.
SCHREIBE EINEN KOMMENTAR
Du musst angemeldet sein, um einen Kommentar abzugeben.
Zurück
Nächster Beitrag: Russischer Botschafter in Frankreich: Wenn die NATO ein russisches Flugzeug abschießt, ist das Krieg",,https://anti-spiegel.ru/2025/deutschland-schlaegt-vor-der-ukraine-einen-kredit-in-hoehe-von-140-milliarden-euro-zu-lasten-der-russischen-vermoegenswerte-zu-gewaehren/,"Deutschland schlägt vor, der Ukraine einen Kredit in Höhe von 140 Milliarden Euro zu Lasten der russischen Vermögenswerte zu gewähren Der deutsche Bundeskanzler erklärte außerdem, dass die Entscheidung über die Gewährung eines Kredits an die Ukraine zu Lasten russischer Vermögenswerte nicht einstimmig, sondern durch eine Mehrheitsentscheidung in der EU getroffen werden könne. Friedrich Merz
Deutschland schlägt vor, der Ukraine einen Kredit in Höhe von 140 Milliarden Euro zu Lasten der russischen Vermögenswerte zu gewähren
Der deutsche Bundeskanzler erklärte außerdem, dass die Entscheidung über die Gewährung eines Kredits an die Ukraine zu Lasten russischer Vermögenswerte nicht einstimmig, sondern durch eine Mehrheitsentscheidung in der EU getroffen werden könne.
von Anti-Spiegel
25. September 2025 19:01 Uhr
Deutschland unterstützt die Gewährung eines zinslosen Kredits in Höhe von fast 140 Milliarden Euro an die Ukraine zu Lasten der in EU-Ländern eingefrorenen russischen Staatsvermögen, erklärte Bundeskanzler Friedrich Merz in einem Artikel in der britischen Zeitung Financial Times.
Merz erklärte in dem Artikel dass er diesen Vorschlag beim nächsten Treffen der EU-Staats- und Regierungschefs machen wolle. Es ist also kein bloßer Meinungsartikel, sondern das soll nach seiner Meinung in die Tat umgesetzt werden. Ich habe den Artikel, den Merz für die Financial Times geschrieben hat, übersetzt
Beginn der Übersetzung:
Krieg in der Ukraine – Ein neuer finanzieller Impetus für den Frieden in der Ukraine
Wir brauchen die Mobilisierung von Ressourcen in einem Ausmaß, das Kiews militärische Widerstandsfähigkeit sichert.
FRIEDRICH MERZ
Der Autor ist der deutsche Bundeskanzler
Wladimir Putin führt seinen brutalen Eroberungskrieg gegen die Ukraine mit unerbittlicher Härte fort. Jeder zerstörte Wohnblock in Odessa, jeder nächtliche Angriff auf ein Krankenhaus in Charkow oder ein Regierungsgebäude in Kiew widerlegt den Mythos von der Friedensbereitschaft Russlands. Europa muss daraus die notwendigen Konsequenzen ziehen, idealerweise gemeinsam mit seinen Partnern auf beiden Seiten des Atlantiks. Wir müssen die Kosten der russischen Aggression systematisch und massiv erhöhen.
Wir tun das nicht, um den Krieg zu verlängern, sondern um ihn zu beenden. Moskau wird sich erst dann an den Verhandlungstisch für einen Waffenstillstand begeben, wenn es erkennt, dass die Ukraine über mehr Durchhaltevermögen verfügt. Wir haben dieses Durchhaltevermögen. Europa steht heute mehr auf dem Prüfstand als je zuvor. Deutschland muss – und wird – einen besonderen Teil der Verantwortung übernehmen.
Wir brauchen einen neuen Impetus, um Russlands Kalkül zu ändern. Jetzt ist der Moment gekommen, einen wirksamen Hebel einzusetzen, der das zynische Spiel auf Zeit des russischen Präsidenten durchbricht und ihn an den Verhandlungstisch bringt. Das erfordert den Mut und das Selbstvertrauen, unsere eigene Agenda zu setzen, anstatt nur auf seine zu reagieren.
Indem wir das tun, würden wir dem tapferen ukrainischen Volk neue Hoffnung geben. Wir würden auch genau das richtige Signal an Washington senden: Der Weg zu einem gerechten und dauerhaften Frieden muss gemeinsam beschritten werden.
Wir werden die Ukraine bei ihrer Verteidigung unterstützen, solange es nötig ist. Das ist die Entscheidung der Europäer. Jetzt ist es an der Zeit, dieses politische Versprechen mit einem Instrument zu untermauern, das ein unmissverständliches Signal der Widerstandsfähigkeit an Moskau sendet. In den letzten Jahren haben wir oft auf Sicht gespielt. Jetzt plädiere ich für die Mobilisierung finanzieller Mittel in einem Umfang, der die militärische Widerstandsfähigkeit der Ukraine für mehrere Jahre sichert.
Deutschland war und bleibt in der Frage der Beschlagnahmung der in Europa eingefrorenen Vermögenswerte der russischen Zentralbank zurückhaltend – und das aus gutem Grund. Es sind nicht nur völkerrechtliche Fragen zu berücksichtigen, sondern auch grundsätzliche Fragen zur Rolle des Euro als globale Reservewährung. Das darf uns jedoch nicht zurückhalten: Wir müssen überlegen, wie wir diese Probleme umgehen und die Mittel für die Verteidigung der Ukraine bereitstellen können.
Meiner Ansicht nach sollte jetzt eine tragfähige Lösung entwickelt werden, mit der wir der Ukraine – ohne Eingriff in Eigentumsrechte – ein zinsloses Darlehen in Höhe von insgesamt fast 140 Milliarden Euro gewähren können. Dieses Darlehen würde erst zurückgezahlt, wenn Russland die Ukraine für die im Krieg verursachten Schäden entschädigt hat. Bis dahin bleiben die russischen Vermögenswerte, wie vom Europäischen Rat beschlossen, eingefroren.
Eine so umfangreiche Hilfe erfordert Haushaltsgarantien der Mitgliedstaaten. Diese bilateralen Garantien sollten, sobald der nächste mehrjährige Finanzrahmen 2028 in Kraft tritt, durch eine Besicherung im Rahmen des langfristigen EU-Haushalts ersetzt werden.
Die so mobilisierten Mittel würden die Verteidigungsfähigkeiten der Ukraine für mehrere Jahre sichern. Ich werde diesen Vorschlag bei unserem Treffen in Kopenhagen am kommenden Mittwoch mit den europäischen Staats- und Regierungschefs erörtern. Ich schlage vor, dass wir dem Europäischen Rat Ende Oktober das Mandat erteilen, dieses Instrument rechtssicher vorzubereiten.
Dieser Beschluss sollte idealerweise einstimmig erfolgen – wenn das scheitert, sollte er von der großen Mehrheit der Mitgliedstaaten angenommen werden, die sich entschieden für die Ukraine einsetzen. Wir sollten auch Partner weltweit, die russische Vermögenswerte eingefroren haben, einladen, sich dem Instrument anzuschließen. Zu diesem Zweck werden wir uns eng mit unseren Partnern in der G7 abstimmen.
Für Deutschland wird es wichtig sein, dass diese zusätzlichen Mittel ausschließlich zur Finanzierung von ukrainischem militärischem Gerät und nicht für allgemeine Haushaltszwecke verwendet werden. Die Zahlungen sollten in Tranchen erfolgen. Die Mitgliedstaaten und die Ukraine würden gemeinsam entscheiden, welches Material beschafft wird. Meiner Ansicht nach muss ein so umfassendes Programm auch dazu beitragen, die europäische Verteidigungsindustrie zu stärken und auszubauen. Dies würde sowohl unserer kollektiven Sicherheit als auch der europäischen Souveränität dienen.
In den letzten Tagen wurden wir daran erinnert, wie umfassend und systematisch Frieden und Freiheit in Europa bedroht sind. Als Europäer verfügen wir über mächtige Mittel, dieser Bedrohung zu begegnen. Es ist an der Zeit, sie einzusetzen, um unser sicheres, freies und vereintes Europa zu verteidigen.
Ende der Übersetzung

Teile diesen Beitrag
teilen 
teilen 
teilen 
teilen 
teilen 
E-Mail 
teilen 
AUTOR: ANTI-SPIEGEL
Thomas Röper, geboren 1971, hat als Experte für Osteuropa in Finanzdienstleistungsunternehmen in Osteuropa und Russland Vorstands- und Aufsichtsratspositionen bekleidet. Heute lebt er in seiner Wahlheimat St. Petersburg. Er lebt über 15 Jahre in Russland und spricht fließend Russisch. Die Schwerpunkte seiner medienkritischen Arbeit sind das (mediale) Russlandbild in Deutschland, Kritik an der Berichterstattung westlicher Medien im Allgemeinen und die Themen (Geo-)Politik und Wirtschaft.
SCHREIBE EINEN KOMMENTAR
Du musst angemeldet sein, um einen Kommentar abzugeben.
Zurück
Nächster Beitrag: Russischer Botschafter in Frankreich: Wenn die NATO ein russisches Flugzeug abschießt, ist das Krieg"
2025-09-25,Interview mit den Anwälten von Thomas Röper und Alina Lipp über die gegen sie verhängten EU-Sanktionen,"Es ist ein weiteres Interview mit den Anwälten von Thomas Röper und Alina Lipp über die gegen sie verhängten EU-Sanktionen erschienen, in dem die Anwälte die juristischen Hintergründe erklären und erzählen, welche juristischen Schritte gegen die Sanktionen geplant sind.","Rechtsstaat?
Interview mit den Anwälten von Thomas Röper und Alina Lipp über die gegen sie verhängten EU-Sanktionen
Es ist ein weiteres Interview mit den Anwälten von Thomas Röper und Alina Lipp über die gegen sie verhängten EU-Sanktionen erschienen, in dem die Anwälte die juristischen Hintergründe erklären und erzählen, welche juristischen Schritte gegen die Sanktionen geplant sind.
von Anti-Spiegel
25. September 2025 18:03 Uhr
Markus Fiedler hat für apolut ein Interview mit den Anwälten geführt, die Thomas Röper und Alina Lipp im Rechtsstreit mit der EU über die gegen sie verhängten EU-Sanktionen vertreten. In dem Interview erklären die Anwälte die juristischen Hintergründe des EU-Sanktionsregimes und sie erzählen, welche juristischen Schritte gegen die Sanktionen geplant sind. Sollte YouTube das Interview löschen, können Sie es auch hier bei apolut anschauen.
EU gegen Thomas Röper und Alina Lipp, jetzt sprechen die Juristen! | Apolut im Gespräch

Teile diesen Beitrag
teilen 
teilen 
teilen 
teilen 
teilen 
E-Mail 
teilen 
AUTOR: ANTI-SPIEGEL
Thomas Röper, geboren 1971, hat als Experte für Osteuropa in Finanzdienstleistungsunternehmen in Osteuropa und Russland Vorstands- und Aufsichtsratspositionen bekleidet. Heute lebt er in seiner Wahlheimat St. Petersburg. Er lebt über 15 Jahre in Russland und spricht fließend Russisch. Die Schwerpunkte seiner medienkritischen Arbeit sind das (mediale) Russlandbild in Deutschland, Kritik an der Berichterstattung westlicher Medien im Allgemeinen und die Themen (Geo-)Politik und Wirtschaft.
SCHREIBE EINEN KOMMENTAR
Du musst angemeldet sein, um einen Kommentar abzugeben.
Zurück
Nächster Beitrag: In Russland schaut man ungläubig auf die explodierende Kriminalität in der EU",,https://anti-spiegel.ru/2025/interview-mit-den-anwaelten-von-thomas-roeper-und-alina-lipp-ueber-die-gegen-sie-verhaengten-eu-sanktionen/,"Interview mit den Anwälten von Thomas Röper und Alina Lipp über die gegen sie verhängten EU-Sanktionen Es ist ein weiteres Interview mit den Anwälten von Thomas Röper und Alina Lipp über die gegen sie verhängten EU-Sanktionen erschienen, in dem die Anwälte die juristischen Hintergründe erklären und erzählen, welche juristischen Schritte gegen die Sanktionen geplant sind. Rechtsstaat?
Interview mit den Anwälten von Thomas Röper und Alina Lipp über die gegen sie verhängten EU-Sanktionen
Es ist ein weiteres Interview mit den Anwälten von Thomas Röper und Alina Lipp über die gegen sie verhängten EU-Sanktionen erschienen, in dem die Anwälte die juristischen Hintergründe erklären und erzählen, welche juristischen Schritte gegen die Sanktionen geplant sind.
von Anti-Spiegel
25. September 2025 18:03 Uhr
Markus Fiedler hat für apolut ein Interview mit den Anwälten geführt, die Thomas Röper und Alina Lipp im Rechtsstreit mit der EU über die gegen sie verhängten EU-Sanktionen vertreten. In dem Interview erklären die Anwälte die juristischen Hintergründe des EU-Sanktionsregimes und sie erzählen, welche juristischen Schritte gegen die Sanktionen geplant sind. Sollte YouTube das Interview löschen, können Sie es auch hier bei apolut anschauen.
EU gegen Thomas Röper und Alina Lipp, jetzt sprechen die Juristen! | Apolut im Gespräch

Teile diesen Beitrag
teilen 
teilen 
teilen 
teilen 
teilen 
E-Mail 
teilen 
AUTOR: ANTI-SPIEGEL
Thomas Röper, geboren 1971, hat als Experte für Osteuropa in Finanzdienstleistungsunternehmen in Osteuropa und Russland Vorstands- und Aufsichtsratspositionen bekleidet. Heute lebt er in seiner Wahlheimat St. Petersburg. Er lebt über 15 Jahre in Russland und spricht fließend Russisch. Die Schwerpunkte seiner medienkritischen Arbeit sind das (mediale) Russlandbild in Deutschland, Kritik an der Berichterstattung westlicher Medien im Allgemeinen und die Themen (Geo-)Politik und Wirtschaft.
SCHREIBE EINEN KOMMENTAR
Du musst angemeldet sein, um einen Kommentar abzugeben.
Zurück
Nächster Beitrag: In Russland schaut man ungläubig auf die explodierende Kriminalität in der EU"
